MonthName,Year,value_final
Jan,1998,0.01
Feb,1998,0.03
March,1998,0.03
Apr,1998,0.11
May,1998,0.12000000000000001
June,1998,0.1
July,1998,0.05
Aug,1998,0.14
Sept,1998,0.13
Oct,1998,0.11
Nov,1998,0.03
Dec,1998,0.02
Jan,1999,0.05
Feb,1999,0.08
March,1999,0.09
Apr,1999,0.15000000000000002
May,1999,0.12
June,1999,0.18
July,1999,0.17
Aug,1999,0.11
Sept,1999,0.08
Oct,1999,0.04
Nov,1999,0.04
Dec,1999,0.04
Jan,2000,0.08
Feb,2000,0.06
March,2000,0.11000000000000001
Apr,2000,0.04
May,2000,0.09
June,2000,0.11000000000000001
July,2000,0.8700000000000001
Aug,2000,0.2
Sept,2000,0.09
Oct,2000,0.1
Nov,2000,0.11000000000000001
Dec,2000,0.18
Jan,2001,0.12
March,2001,0.09
Apr,2001,0.13
May,2001,0.03
June,2001,0.03
July,2001,0.12
Aug,2001,0.06
Sept,2001,0.12
Oct,2001,0.12
Dec,2001,0.1
Feb,2002,0.535
March,2002,0.12
Apr,2002,0.06
May,2002,0.25
June,2002,0.17
July,2002,0.11000000000000001
Aug,2002,0.09
Sept,2002,0.29
Oct,2002,0.135
Nov,2002,0.15000000000000002
Dec,2002,0.23000000000000004
Jan,2003,0.11100000000000002
Feb,2003,0.117
March,2003,0.231
Apr,2003,0.223
May,2003,0.30000000000000004
June,2003,0.252
July,2003,0.309
Aug,2003,0.189
Sept,2003,0.07
Oct,2003,0.265
Nov,2003,0.328
Dec,2003,0.153
Jan,2004,0.099
Feb,2004,0.1315
March,2004,0.1155
Apr,2004,0.116
May,2004,0.1617
June,2004,0.204
July,2004,0.17099999999999999
Aug,2004,0.303
Sept,2004,0.1557
Oct,2004,0.125
Nov,2004,0.199
Dec,2004,0.155
Jan,2005,0.23600000000000002
Feb,2005,0.21300000000000002
March,2005,0.21
Apr,2005,0.153
May,2005,0.24300000000000002
June,2005,0.405
July,2005,0.188
Aug,2005,0.15
Sept,2005,0.15900000000000003
Oct,2005,0.169
Nov,2005,0.154
Dec,2005,0.10200000000000001
Jan,2006,0.14400000000000002
Feb,2006,0.169
March,2006,0.1567
Apr,2006,0.135
May,2006,0.151
June,2006,0.17700000000000002
July,2006,0.098
Aug,2006,0.231
Sept,2006,2.062
Oct,2006,0.11000000000000001
Nov,2006,0.123
Dec,2006,0.23400000000000004
Jan,2007,0.24400000000000002
Feb,2007,0.10000000000000002
March,2007,0.17400000000000002
Apr,2007,0.30200000000000005
May,2007,0.11099999999999999
June,2007,0.252
July,2007,0.14400000000000002
Aug,2007,0.033
Sept,2007,0.037
Oct,2007,0.015
Nov,2007,0.04
Dec,2007,0.045
Jan,2008,0.059
Feb,2008,0.13399999999999998
March,2008,0.076
May,2008,0.043
June,2008,0.046000000000000006
July,2008,0.11900000000000001
Aug,2008,0.252
Sept,2008,0.127
Oct,2008,0.28800000000000003
Nov,2008,0.15700000000000003
Dec,2008,0.08299999999999999
Jan,2009,0.07500000000000001
Feb,2009,0.17800000000000002
March,2009,0.14200000000000002
Apr,2009,0.08299999999999999
May,2009,0.44800000000000006
June,2009,0.17200000000000001
July,2009,0.11300000000000002
Aug,2009,0.096
Sept,2009,0.063
Oct,2009,0.07200000000000001
Nov,2009,0.038000000000000006
Dec,2009,0.059000000000000004
Jan,2010,0.024
Feb,2010,0.039
March,2010,0.051000000000000004
Apr,2010,0.058
May,2010,0.041
June,2010,0.05600000000000001
July,2010,0.075
Aug,2010,0.075
Sept,2010,0.236
Oct,2010,0.1078
Nov,2010,0.134
Dec,2010,0.091
Jan,2011,0.097
Feb,2011,0.07
March,2011,0.07300000000000001
Apr,2011,0.096
May,2011,0.069
June,2011,0.033
July,2011,0.07200000000000001
Aug,2011,0.048
Sept,2011,0.10499999999999998
Oct,2011,0.024
Nov,2011,0.064
Dec,2011,0.063
Jan,2012,0.013999999999999999
Feb,2012,0.051000000000000004
March,2012,0.043800000000000006
Apr,2012,0.05500000000000001
May,2012,0.11499999999999999
June,2012,0.10400000000000001
July,2012,0.097
Aug,2012,0.048
Sept,2012,0.043
Oct,2012,0.024
Nov,2012,0.0249
Dec,2012,0.0
Jan,2013,0.010499999999999999
Feb,2013,0.0114
March,2013,0.035
Apr,2013,0.044
May,2013,0.054000000000000006
June,2013,0.093
July,2013,0.046
Aug,2013,0.0417
Sept,2013,0.0528
Oct,2013,0.0317
Nov,2013,0.035
Dec,2013,0.0523
Jan,2014,0.043000000000000003
Feb,2014,0.051000000000000004
March,2014,0.067
Apr,2014,0.069
May,2014,0.09300000000000001
June,2014,0.127
July,2014,0.444
Aug,2014,0.15560000000000002
Sept,2014,0.061
Oct,2014,0.0698
Nov,2014,0.093
Dec,2014,0.0664
Jan,2015,0.0542
Feb,2015,0.058
March,2015,0.09000000000000001
Apr,2015,0.044000000000000004
May,2015,0.104
June,2015,0.13199999999999998
July,2015,0.051
Aug,2015,0.11
Sept,2015,0.05600000000000001
Oct,2015,0.12100000000000001
Nov,2015,0.07100000000000001
Dec,2015,0.097
Jan,2016,0.11800000000000001
Feb,2016,0.048
March,2016,0.07500000000000001
Apr,2016,0.05600000000000001
May,2016,0.115
June,2016,0.089
July,2016,0.136
Aug,2016,0.22600000000000003
Sept,2016,0.12100000000000001
Oct,2016,0.056999999999999995
Nov,2016,0.089
Dec,2016,0.081
