Year,measure,Achara,Boonsri,Busarakhan,Chai,Decha,Kannika,Kohsoom,Sakda,Somchair,Tansanee
1998,Copper,0.0,278.0,73.0,521.9,0.0,559.2,208.0,315.7,110.0,0.0
1999,Copper,0.0,532.0,344.6,902.8,0.0,882.5,388.8,1098.2,684.6,0.0
2000,Copper,0.0,742.2,370.6,995.1,0.0,994.0,341.3,1072.5,434.9,0.0
2001,Copper,0.0,457.3,200.4,787.3,0.0,849.2,230.7,768.2,237.1,0.0
2002,Copper,0.0,769.7,198.8,1571.7,0.0,639.6,239.7,577.9,227.0,0.0
2003,Copper,0.0,410.5,145.0,589.1,0.0,597.6,1232.1,383.6,241.4,0.0
2004,Copper,0.0,737.4,154.4,682.9,0.0,236.0,118.5,320.6,130.2,0.0
2005,Copper,0.0,443.0,118.7,1275.7,0.0,335.5,76.3,360.7,281.4,0.0
2006,Copper,0.0,469.1,158.9,600.3,0.0,329.9,79.8,366.3,166.6,0.0
2007,Copper,0.0,462.2,186.8,863.5,0.0,453.7,149.1,389.7,138.1,0.0
2008,Copper,0.0,0.0,39.7,196.0,0.0,153.1,0.0,146.2,41.1,0.0
2009,Copper,52.7,0.0,50.9,118.9,75.8,136.6,0.0,148.2,75.6,19.9
2010,Copper,106.7,277.4,96.1,147.9,68.2,129.0,132.8,126.8,87.9,44.7
2011,Copper,59.1,327.6,98.0,124.8,23.8,168.4,352.8,134.1,185.1,39.6
2012,Copper,35.6,87.2,5.7,15.8,138.9,35.3,182.8,21.9,10.4,4.1
2013,Copper,34.8,135.4,0.0,9.4,79.9,0.0,40.1,0.0,0.0,0.0
2014,Copper,0.0,101.3,9.6,21.9,19.9,310.6,39.5,435.7,13.4,0.0
2015,Copper,0.0,0.0,0.0,0.0,36.3,379.7,0.0,311.8,7.0,0.0
2016,Copper,0.0,0.0,0.0,0.0,0.0,317.0,0.0,315.8,0.0,0.0
