MonthName,Year,value_final
January,2009,0.552
February,2009,0.086
March,2009,0.07
April,2009,0.125
May,2009,0.21100000000000002
June,2009,0.016
July,2009,0.039
August,2009,0.09300000000000001
September,2009,0.132
October,2009,0.031
November,2009,0.39
December,2009,0.23399999999999999
January,2010,0.451
February,2010,0.194
March,2010,0.551
April,2010,0.404
May,2010,0.311
June,2010,0.053
July,2010,0.17
August,2010,0.264
September,2010,0.148
October,2010,0.18700000000000003
November,2010,0.163
December,2010,0.31
January,2011,0.32399999999999995
February,2011,0.35500000000000004
March,2011,0.195
April,2011,0.027999999999999997
May,2011,0.181
June,2011,0.11699999999999999
July,2011,0.027999999999999997
August,2011,0.096
September,2011,0.0
October,2011,0.175
November,2011,0.31999999999999995
December,2011,0.14200000000000002
January,2012,0.277
February,2012,0.372
March,2012,1.234
April,2012,0.0
May,2012,0.15
June,2012,0.35300000000000004
July,2012,0.101
August,2012,0.0
September,2012,0.08
October,2012,0.375
November,2012,0.196
December,2012,0.26
January,2013,0.114
February,2013,0.0
March,2013,0.037000000000000005
April,2013,0.036000000000000004
May,2013,0.045
June,2013,0.073
July,2013,0.04
August,2013,0.033
September,2013,0.067
October,2013,0.0
November,2013,0.040999999999999995
December,2013,0.42100000000000004
January,2014,0.43
February,2014,0.21600000000000003
March,2014,0.0
April,2014,0.215
May,2014,0.051
June,2014,0.087
July,2014,0.037000000000000005
August,2014,0.0
September,2014,0.026000000000000002
October,2014,0.062
November,2014,0.15
December,2014,0.21600000000000003
January,2015,0.316
February,2015,0.0
March,2015,0.049
April,2015,0.055
May,2015,0.21
June,2015,0.35
July,2015,0.063
August,2015,0.10800000000000001
September,2015,0.065
October,2015,0.073
November,2015,0.11
December,2015,0.18
January,2016,0.13
February,2016,0.06
March,2016,0.04
April,2016,0.14
May,2016,0.16
June,2016,0.05
July,2016,0.04
August,2016,0.055999999999999994
September,2016,0.078
October,2016,0.08900000000000001
November,2016,0.11
December,2016,0.11
