MonthName,Year,value_final
January,1998,0.33
February,1998,0.14
March,1998,0.2
April,1998,0.26
May,1998,0.42000000000000004
June,1998,0.28
July,1998,0.26
August,1998,0.4
September,1998,0.53
October,1998,0.36
November,1998,0.13
December,1998,0.25
January,1999,1.35
February,1999,1.97
March,1999,1.6800000000000002
April,1999,0.54
May,1999,0.89
June,1999,0.49
July,1999,0.4600000000000001
August,1999,0.32999999999999996
September,1999,0.22
October,1999,0.21000000000000002
November,1999,0.31
December,1999,0.7
January,2000,0.5
February,2000,1.1099999999999999
March,2000,0.9000000000000001
April,2000,1.5699999999999998
May,2000,1.1
June,2000,0.75
July,2000,1.12
August,2000,0.78
September,2000,1.7
October,2000,0.96
November,2000,1.5099999999999998
December,2000,1.71
January,2001,1.12
March,2001,0.75
April,2001,0.63
May,2001,0.68
June,2001,0.41000000000000003
July,2001,0.21
August,2001,0.35
September,2001,0.57
October,2001,0.64
December,2001,1.47
February,2002,2.82
March,2002,1.9900000000000002
April,2002,0.94
May,2002,1.8800000000000001
June,2002,1.7599999999999998
July,2002,2.8
August,2002,3.3400000000000003
September,2002,2.58
October,2002,2.95
November,2002,2.76
December,2002,4.63
January,2003,1.3399999999999999
February,2003,0.45999999999999996
March,2003,1.217
April,2003,1.548
May,2003,2.121
June,2003,3.072
July,2003,1.9090000000000003
August,2003,1.98
September,2003,0.51
October,2003,1.507
November,2003,1.002
December,2003,1.59
January,2004,0.908
February,2004,1.163
March,2004,0.969
April,2004,0.765
May,2004,1.373
June,2004,1.505
July,2004,0.6869999999999999
August,2004,1.5009999999999997
September,2004,0.79
October,2004,1.423
November,2004,3.851
December,2004,1.7590000000000001
January,2005,2.5949999999999998
February,2005,2.739
March,2005,1.6840000000000002
April,2005,1.6280000000000001
May,2005,1.75
June,2005,0.8570000000000001
July,2005,1.26
August,2005,1.496
September,2005,0.932
October,2005,0.799
November,2005,0.7200000000000001
December,2005,0.6350000000000001
January,2006,2.19
February,2006,2.542
March,2006,2.34
April,2006,1.1019999999999999
May,2006,1.0699999999999998
June,2006,0.8360000000000001
July,2006,2.056
August,2006,1.163
September,2006,1.6049999999999998
October,2006,0.8370000000000001
November,2006,1.651
December,2006,1.729
January,2007,1.627
February,2007,1.08
March,2007,3.516
April,2007,4.683
May,2007,1.6599999999999997
June,2007,1.3359999999999999
July,2007,1.8170000000000002
August,2007,0.8220000000000001
September,2007,0.9309999999999998
October,2007,0.831
November,2007,0.8660000000000001
December,2007,1.211
January,2008,2.3129999999999997
February,2008,2.299
March,2008,1.521
May,2008,0.393
June,2008,0.36300000000000004
July,2008,0.85
August,2008,2.439
September,2008,0.4890000000000001
October,2008,1.674
November,2008,1.288
December,2008,0.954
January,2009,1.466
February,2009,3.074
March,2009,4.037999999999999
April,2009,0.6599999999999999
May,2009,1.769
June,2009,1.2800000000000002
July,2009,1.744
August,2009,0.54
September,2009,0.64
October,2009,0.6910000000000001
November,2009,0.161
December,2009,0.508
January,2010,0.159
February,2010,0.394
March,2010,0.433
April,2010,0.24
May,2010,0.129
June,2010,0.6599999999999999
July,2010,0.6060000000000001
August,2010,1.1099999999999999
September,2010,3.8720000000000003
October,2010,1.347
November,2010,1.458
December,2010,1.5950000000000002
January,2011,2.3680000000000003
February,2011,0.77
March,2011,0.632
April,2011,0.25
May,2011,0.449
June,2011,0.37500000000000006
July,2011,0.22600000000000003
August,2011,0.22399999999999998
September,2011,0.16099999999999998
October,2011,0.07200000000000001
November,2011,0.28700000000000003
December,2011,0.295
January,2012,0.10400000000000001
February,2012,0.6970000000000001
March,2012,0.166
April,2012,0.304
May,2012,0.368
June,2012,0.278
July,2012,0.24600000000000002
August,2012,0.18
September,2012,0.234
October,2012,0.21100000000000002
November,2012,0.115
December,2012,0.085
January,2013,0.14100000000000001
February,2013,0.46299999999999997
March,2013,0.161
April,2013,0.29500000000000004
May,2013,0.21000000000000002
June,2013,0.21500000000000002
July,2013,0.25799999999999995
August,2013,0.0
September,2013,0.298
October,2013,0.236
November,2013,0.322
December,2013,0.355
January,2014,0.395
February,2014,0.5609999999999999
March,2014,0.41000000000000003
April,2014,0.16499999999999998
May,2014,0.277
June,2014,0.28800000000000003
July,2014,0.302
August,2014,0.44200000000000006
September,2014,0.23850000000000002
October,2014,1.4258
November,2014,0.392
December,2014,0.3846
January,2015,0.456
February,2015,0.35800000000000004
March,2015,0.39
April,2015,0.173
May,2015,0.26999999999999996
June,2015,0.364
July,2015,0.482
August,2015,0.32799999999999996
September,2015,0.294
October,2015,0.518
November,2015,0.38
December,2015,0.5290000000000001
January,2016,0.584
February,2016,0.391
March,2016,0.11299999999999999
April,2016,0.211
May,2016,0.165
June,2016,0.173
July,2016,0.23199999999999998
August,2016,0.4610000000000001
September,2016,0.343
October,2016,0.35800000000000004
November,2016,0.279
December,2016,0.446
