MonthName,Year,value_final
January,1998,1.21
February,1998,1.6900000000000002
March,1998,3.52
April,1998,0.44000000000000006
May,1998,1.02
June,1998,0.58
July,1998,2.86
August,1998,0.64
September,1998,0.54
October,1998,1.15
November,1998,0.73
December,1998,0.93
January,1999,1.9700000000000002
February,1999,1.44
March,1999,0.44999999999999996
April,1999,0.47
May,1999,0.64
June,1999,0.48
July,1999,1.25
August,1999,0.62
September,1999,1.1600000000000001
October,1999,0.55
November,1999,2.12
December,1999,1.0899999999999999
January,2000,0.8400000000000001
February,2000,3.42
March,2000,1.3599999999999999
April,2000,0.27
May,2000,2.58
June,2000,0.11
July,2000,3.22
August,2000,0.63
September,2000,0.9800000000000001
October,2000,0.53
November,2000,0.9199999999999999
December,2000,0.91
January,2001,1.46
February,2001,0.95
March,2001,1.26
April,2001,0.5
May,2001,1.38
June,2001,0.65
July,2001,0.9199999999999999
August,2001,0.29000000000000004
September,2001,0.97
November,2001,0.79
February,2002,2.5
March,2002,2.85
April,2002,0.8400000000000001
May,2002,2.0
June,2002,1.29
July,2002,1.3800000000000001
August,2002,1.66
September,2002,1.5699999999999998
October,2002,5.359999999999999
November,2002,0.56
December,2002,1.88
January,2003,3.4599999999999995
February,2003,1.09
March,2003,1.251
April,2003,2.0409999999999995
May,2003,1.1150000000000002
June,2003,2.28
July,2003,6.283
August,2003,1.846
September,2003,0.79
October,2003,3.051
November,2003,2.318
December,2003,4.768
January,2004,5.748000000000001
February,2004,6.134
March,2004,2.292
April,2004,0.915
May,2004,1.1119999999999999
June,2004,1.987
July,2004,1.297
August,2004,1.7199999999999998
September,2004,0.548
October,2004,0.0
November,2004,2.372
December,2004,0.8039999999999999
January,2005,2.1510000000000002
February,2005,1.001
March,2005,2.101
April,2005,1.921
May,2005,1.971
June,2005,2.287
July,2005,1.3639999999999999
August,2005,2.808
September,2005,0.9829999999999999
October,2005,0.9369999999999999
November,2005,0.685
December,2005,0.845
January,2006,1.067
February,2006,2.3139999999999996
March,2006,2.0660000000000003
April,2006,1.6300000000000003
May,2006,0.961
June,2006,4.487
July,2006,2.348
August,2006,2.914
September,2006,3.669
October,2006,4.3389999999999995
November,2006,3.1849999999999996
December,2006,2.647
January,2007,1.39
February,2007,2.1350000000000002
March,2007,1.411
April,2007,0.8836
May,2007,3.048
June,2007,2.066
July,2007,4.353000000000001
August,2007,1.216
September,2007,1.828
October,2007,6.478
November,2007,3.5539999999999994
December,2007,3.0
January,2008,1.131
February,2008,1.652
March,2008,2.764
April,2008,1.26
May,2008,1.9849999999999997
June,2008,4.281000000000001
July,2008,1.323
August,2008,2.686
September,2008,0.6378000000000001
October,2008,2.0998
November,2008,1.4113000000000002
December,2008,0.6015
January,2009,0.8734000000000001
February,2009,2.538
March,2009,0.858
April,2009,0.768
May,2009,1.4
June,2009,1.049
July,2009,1.015
August,2009,0.9560000000000002
September,2009,0.402
October,2009,0.786
November,2009,0.9289999999999998
December,2009,0.964
January,2010,1.4709999999999999
February,2010,1.092
March,2010,1.9220000000000002
April,2010,0.581
May,2010,1.229
June,2010,1.466
July,2010,0.818
August,2010,1.204
September,2010,1.116
October,2010,1.042
November,2010,1.081
December,2010,1.1920000000000002
January,2011,1.404
February,2011,1.234
March,2011,1.058
April,2011,0.8649999999999999
May,2011,0.808
June,2011,1.91
July,2011,1.114
August,2011,1.9200000000000002
September,2011,0.911
October,2011,0.627
November,2011,0.713
December,2011,4.093
January,2012,1.7924
February,2012,1.7590000000000001
March,2012,0.5999
April,2012,0.5447
May,2012,1.2976
June,2012,1.9354999999999998
July,2012,0.8082
August,2012,0.8781000000000001
September,2012,1.5740999999999998
October,2012,0.627
November,2012,3.2877000000000005
December,2012,1.0466
January,2013,0.751
February,2013,1.191
March,2013,0.356
April,2013,0.798
May,2013,0.602
June,2013,1.663
July,2013,0.36500000000000005
August,2013,0.45099999999999996
September,2013,0.36
October,2013,0.27299999999999996
November,2013,0.7440000000000002
December,2013,2.179
January,2014,0.9320999999999999
March,2014,1.2105599999999999
April,2014,0.07488
May,2014,0.31980000000000003
June,2014,0.21996000000000002
July,2014,0.6708000000000001
August,2014,0.98358
September,2014,0.37673999999999996
October,2014,0.7792199999999999
November,2014,0.28938
December,2014,0.23712
January,2015,0.288
February,2015,0.39699999999999996
March,2015,0.5
April,2015,0.392
May,2015,0.14300000000000002
June,2015,0.20800000000000002
July,2015,0.45719999999999994
August,2015,0.34199999999999997
September,2015,0.5157
October,2015,0.157
November,2015,0.8579999999999999
December,2015,0.42500000000000004
January,2016,0.59
February,2016,0.245
March,2016,0.206
April,2016,0.1104
May,2016,0.41100000000000003
June,2016,0.9670000000000001
July,2016,0.969
August,2016,0.192
September,2016,0.512
October,2016,0.239
November,2016,0.25400000000000006
December,2016,0.261
