MonthName,Year,value_final
January,2009,0.631
February,2009,0.081
March,2009,0.162
April,2009,0.021
May,2009,0.051
June,2009,0.051
July,2009,0.038
August,2009,0.177
September,2009,0.17
October,2009,0.059000000000000004
November,2009,0.17
December,2009,0.113
January,2010,6.138
February,2010,0.331
March,2010,0.267
April,2010,0.28600000000000003
May,2010,0.055999999999999994
June,2010,0.115
July,2010,0.183
August,2010,0.03
September,2010,0.035
October,2010,0.019
November,2010,0.165
December,2010,0.19699999999999998
January,2011,0.509
February,2011,0.24
March,2011,0.162
April,2011,0.06
May,2011,0.087
June,2011,0.07
July,2011,0.052000000000000005
August,2011,0.065
September,2011,0.046
October,2011,0.14800000000000002
November,2011,0.07200000000000001
December,2011,0.111
January,2012,0.326
February,2012,0.389
March,2012,0.32299999999999995
April,2012,0.258
May,2012,0.29600000000000004
June,2012,0.11699999999999999
July,2012,0.105
August,2012,0.0
September,2012,0.054000000000000006
October,2012,0.036000000000000004
November,2012,0.076
December,2012,0.171
January,2013,0.346
February,2013,0.739
March,2013,0.445
April,2013,0.20500000000000002
May,2013,0.0
June,2013,0.04
July,2013,0.134
August,2013,0.071
September,2013,0.037000000000000005
October,2013,0.040999999999999995
November,2013,0.45899999999999996
December,2013,1.596
January,2014,1.297
February,2014,2.016
March,2014,1.1260000000000001
April,2014,1.057
May,2014,0.297
June,2014,0.43000000000000005
July,2014,0.41100000000000003
August,2014,0.44799999999999995
September,2014,0.386
October,2014,0.266
November,2014,0.739
December,2014,1.152
January,2015,2.415
February,2015,1.262
March,2015,1.033
April,2015,0.669
May,2015,0.11199999999999999
June,2015,0.40499999999999997
July,2015,0.325
August,2015,0.24
September,2015,0.053
October,2015,0.429
November,2015,0.275
December,2015,0.899
January,2016,0.647
February,2016,0.49499999999999994
March,2016,0.193
April,2016,0.099
May,2016,0.10300000000000001
June,2016,0.145
July,2016,0.273
August,2016,0.44399999999999995
September,2016,0.082
October,2016,0.199
November,2016,0.386
December,2016,0.389
