MonthName,Year,value_final
January,1998,0.8500000000000001
February,1998,0.41000000000000003
March,1998,0.71
April,1998,0.54
May,1998,0.8899999999999999
June,1998,0.79
July,1998,0.63
August,1998,0.67
September,1998,0.51
October,1998,0.8899999999999999
November,1998,0.7
December,1998,0.46
January,1999,1.37
February,1999,2.8200000000000003
March,1999,1.6500000000000001
April,1999,0.5700000000000001
May,1999,0.96
June,1999,0.5700000000000001
July,1999,1.11
August,1999,0.6100000000000001
September,1999,1.15
October,1999,0.68
November,1999,2.5
December,1999,1.06
January,2000,6.81
February,2000,0.77
March,2000,1.53
April,2000,0.3
May,2000,3.55
June,2000,0.16999999999999998
July,2000,1.2199999999999998
August,2000,0.5700000000000001
September,2000,1.4100000000000001
October,2000,0.58
November,2000,0.77
December,2000,1.26
January,2001,1.63
February,2001,1.1
March,2001,0.8999999999999999
April,2001,0.96
May,2001,0.6900000000000001
June,2001,0.76
July,2001,1.03
August,2001,0.43000000000000005
September,2001,0.8700000000000001
November,2001,2.39
December,2001,1.26
January,2002,0.29
February,2002,1.26
March,2002,0.63
April,2002,1.2
May,2002,1.22
June,2002,0.06
July,2002,0.61
August,2002,0.06
September,2002,1.6
October,2002,2.1
November,2002,0.44000000000000006
December,2002,0.53
January,2003,0.309
February,2003,0.96
March,2003,0.8599999999999999
April,2003,0.345
May,2003,0.8069999999999999
June,2003,1.284
July,2003,1.72
August,2003,1.3
September,2003,0.39
October,2003,2.11
November,2003,1.1400000000000001
December,2003,1.96
February,2004,2.4779999999999998
March,2004,0.244
April,2004,0.6719999999999999
May,2004,0.866
June,2004,0.28900000000000003
July,2004,1.7690000000000001
August,2004,0.281
September,2004,0.176
October,2004,0.06
December,2004,0.44299999999999995
January,2005,2.296
February,2005,0.166
March,2005,1.463
April,2005,0.5349999999999999
May,2005,0.776
June,2005,0.78
July,2005,0.89
August,2005,0.033
September,2005,0.687
October,2005,0.327
November,2005,0.628
December,2005,0.2
January,2006,0.1787
February,2006,2.33
March,2006,2.463
April,2006,1.011
May,2006,1.0590000000000002
June,2006,1.9539999999999997
July,2006,2.091
August,2006,1.834
September,2006,1.806
October,2006,1.962
November,2006,0.8599999999999999
December,2006,2.141
January,2007,0.827
February,2007,0.40499999999999997
March,2007,0.528
April,2007,0.308
May,2007,0.211
June,2007,0.919
July,2007,0.7579999999999999
August,2007,0.084
September,2007,0.499
October,2007,1.518
November,2007,1.171
December,2007,0.39399999999999996
January,2008,1.256
March,2008,0.817
April,2008,0.77
May,2008,0.28800000000000003
June,2008,1.2049999999999998
July,2008,0.396
August,2008,0.844
September,2008,0.161
October,2008,1.3733
November,2008,0.41700000000000004
December,2008,0.3508
January,2009,1.0239
February,2009,0.194
March,2009,1.113
April,2009,0.28
May,2009,0.251
June,2009,0.591
July,2009,1.713
August,2009,0.23400000000000004
September,2009,0.475
October,2009,0.2912
November,2009,0.31
December,2009,0.29
January,2010,0.389
February,2010,0.36100000000000004
March,2010,0.364
April,2010,0.156
May,2010,0.495
June,2010,1.01
July,2010,0.271
August,2010,1.01
September,2010,0.585
October,2010,0.3
November,2010,0.21700000000000003
December,2010,0.22700000000000004
January,2011,0.486
February,2011,1.5610000000000002
March,2011,0.5640000000000001
April,2011,0.655
May,2011,0.5630000000000001
June,2011,0.775
July,2011,1.1280000000000001
August,2011,0.855
September,2011,0.241
October,2011,0.805
November,2011,1.239
December,2011,1.2389999999999999
January,2012,0.4406
February,2012,0.5323
March,2012,1.178
April,2012,0.1997
May,2012,0.2906
June,2012,0.2875
July,2012,0.3496
September,2012,0.442
October,2012,0.1213
November,2012,0.5438999999999999
December,2012,0.3256
January,2013,0.32699999999999996
February,2013,0.15600000000000003
March,2013,0.42600000000000005
April,2013,0.631
May,2013,0.5029999999999999
June,2013,0.281
July,2013,0.41200000000000003
August,2013,0.09699999999999999
September,2013,0.19999999999999998
October,2013,0.309
November,2013,0.164
December,2013,0.502
January,2014,0.7246199999999999
March,2014,1.02648
April,2014,0.13416
May,2014,0.28002
June,2014,0.38922
July,2014,0.32292
August,2014,0.5530200000000001
September,2014,1.23786
October,2014,0.74256
November,2014,0.58188
December,2014,0.73476
January,2015,0.724
February,2015,0.5760000000000001
March,2015,0.5469999999999999
April,2015,0.391
May,2015,0.9490000000000001
June,2015,0.16100000000000003
July,2015,0.325
August,2015,0.6679999999999999
September,2015,0.17600000000000002
October,2015,0.323
November,2015,0.49999999999999994
December,2015,0.40800000000000003
January,2016,0.40900000000000003
February,2016,0.5429999999999999
March,2016,0.49899999999999994
April,2016,0.34099999999999997
May,2016,0.264
June,2016,0.395
July,2016,0.03
August,2016,0.26
September,2016,0.089
October,2016,0.10300000000000001
November,2016,0.099
December,2016,0.14600000000000002
