MonthName,Year,value_final
April,1998,14.2
June,1998,0.95
August,1998,1.15
October,1998,0.54
November,1998,0.6
December,1998,0.34
January,1999,0.4
February,1999,1.6
March,1999,0.24
April,1999,1.17
May,1999,0.5
June,1999,0.88
July,1999,0.56
August,1999,1.59
September,1999,2.4
October,1999,1.8
November,1999,5.5
December,1999,2.5
January,2000,2.2
February,2000,1.8
March,2000,3.4
April,2000,2.5
May,2000,2.9
June,2000,1.03
July,2000,1.48
August,2000,1.4
September,2000,2.4
October,2000,2.0
November,2000,1.9
December,2000,0.58
January,2001,2.6
February,2001,1.4
March,2001,0.95
April,2001,1.94
May,2001,1.66
June,2001,2.94
July,2001,1.8
August,2001,1.5
September,2001,1.82
October,2001,1.9
December,2001,1.55
March,2002,1.87
April,2002,3.2
May,2002,4.8
June,2002,2.28
July,2002,3.68
August,2002,2.8
September,2002,1.75
October,2002,8.559999999999999
November,2002,3.3
December,2002,1.94
February,2003,1.78
March,2003,0.96
April,2003,1.05
May,2003,5.4
June,2003,2.5
July,2003,1.38
August,2003,4.18
September,2003,3.24
October,2003,1.53
November,2003,2.17
December,2003,1.13
January,2004,2.79
February,2004,1.81
March,2004,1.44
April,2004,1.19
May,2004,2.48
June,2004,1.34
July,2004,1.73
August,2004,1.45
September,2004,1.68
October,2004,1.77
November,2004,2.1
December,2004,1.51
January,2005,1.26
February,2005,5.4
March,2005,5.56
April,2005,3.07
May,2005,4.89
June,2005,3.79
July,2005,4.1
August,2005,3.01
September,2005,2.62
October,2005,1.91
November,2005,2.41
December,2005,4.16
January,2006,2.16
February,2006,3.82
March,2006,1.36
April,2006,1.16
May,2006,3.3
June,2006,1.39
August,2006,1.23
September,2006,1.43
October,2006,1.48
November,2006,2.21
December,2006,1.29
January,2007,1.09
February,2007,1.43
March,2007,0.6
April,2007,0.9
May,2007,1.27
June,2007,0.9690000000000001
July,2007,0.88
August,2007,1.29
September,2007,0.945
October,2007,1.68
November,2007,2.43
December,2007,1.05
January,2008,2.74
February,2008,1.68
March,2008,1.04
May,2008,1.88
June,2008,2.39
July,2008,6.417999999999999
August,2008,4.968999999999999
September,2008,4.968999999999999
October,2008,4.145
November,2008,3.4530000000000003
December,2008,3.74
January,2009,4.239
February,2009,4.89
March,2009,2.65
April,2009,3.15
May,2009,4.46
June,2009,4.75
July,2009,7.79
August,2009,4.99
September,2009,7.42
October,2009,3.7510000000000003
November,2009,1.51
December,2009,2.81
January,2010,2.438
February,2010,3.174
March,2010,3.43
April,2010,1.926
May,2010,3.39
June,2010,5.58
July,2010,2.99
August,2010,2.64
September,2010,2.31
October,2010,4.43
November,2010,5.11
December,2010,4.01
January,2011,3.59
February,2011,3.08
March,2011,4.14
April,2011,2.39
May,2011,3.96
June,2011,3.31
July,2011,1.8715
August,2011,2.49
September,2011,1.962
October,2011,2.91
November,2011,2.47
December,2011,2.766
January,2012,2.221
February,2012,4.363
March,2012,3.39
April,2012,3.6
May,2012,2.658
June,2012,2.31
July,2012,1.81
August,2012,1.736
October,2012,1.962
November,2012,1.7930000000000001
December,2012,0.325
January,2013,1.899
February,2013,1.5290000000000001
March,2013,1.213
April,2013,0.8682
May,2013,1.2570000000000001
June,2013,0.8390000000000001
July,2013,2.21
August,2013,3.435
September,2013,4.1080000000000005
October,2013,4.705
November,2013,3.387
December,2013,5.3
January,2014,3.6630000000000003
February,2014,0.366
March,2014,1.033
April,2014,2.418
May,2014,1.365
June,2014,5.438
July,2014,1.776
August,2014,6.327000000000001
September,2014,6.706
October,2014,7.388999999999999
November,2014,4.032
December,2014,6.091
January,2015,4.141
February,2015,3.4960000000000004
March,2015,1.0565
April,2015,1.9215
May,2015,2.6289999999999996
June,2015,1.722
July,2015,1.8235
August,2015,5.075
September,2015,2.6860000000000004
October,2015,0.4616
November,2015,0.5784
December,2015,3.342
January,2016,1.9535
February,2016,1.4195
March,2016,1.4480000000000002
April,2016,0.7589
May,2016,0.4228
June,2016,2.7460000000000004
July,2016,1.4280000000000002
August,2016,0.8393
September,2016,1.8880000000000001
October,2016,0.8270000000000001
November,2016,2.639
December,2016,0.376
