MonthName,Year,value_final
April,1998,0.16
June,1998,0.19
August,1998,0.21
October,1998,1.0299999999999998
November,1998,0.32
December,1998,0.38
January,1999,1.46
February,1999,1.96
March,1999,0.72
April,1999,0.56
May,1999,2.68
June,1999,0.16
July,1999,1.98
August,1999,0.54
September,1999,0.95
October,1999,0.63
November,1999,2.87
December,1999,1.38
January,2000,5.87
February,2000,0.9
March,2000,1.4700000000000002
April,2000,0.27
May,2000,3.05
June,2000,0.12
July,2000,1.4900000000000002
August,2000,0.67
September,2000,1.22
October,2000,0.49
November,2000,0.92
December,2000,1.23
January,2001,1.1600000000000001
February,2001,1.49
March,2001,0.57
April,2001,0.95
May,2001,0.8
June,2001,1.01
July,2001,1.06
August,2001,0.35
September,2001,0.76
November,2001,0.8900000000000001
December,2001,1.45
January,2002,0.24
February,2002,1.0499999999999998
March,2002,0.76
April,2002,0.4
May,2002,0.78
June,2002,0.74
July,2002,0.73
August,2002,0.97
September,2002,0.30000000000000004
October,2002,2.32
November,2002,0.37
December,2002,0.45999999999999996
January,2003,0.8600000000000001
February,2003,0.6900000000000001
March,2003,0.41400000000000003
April,2003,1.563
May,2003,1.0130000000000001
June,2003,1.257
July,2003,1.54
August,2003,1.9500000000000002
September,2003,0.4
October,2003,1.2
November,2003,0.954
December,2003,3.959
January,2004,3.35
February,2004,2.405
March,2004,2.21
April,2004,0.735
May,2004,1.163
June,2004,0.6839999999999999
July,2004,0.36
August,2004,0.203
September,2004,0.492
October,2004,0.0
December,2004,0.222
January,2005,2.704
February,2005,0.087
March,2005,0.36500000000000005
April,2005,2.715
May,2005,1.346
June,2005,0.65
July,2005,1.0070000000000001
August,2005,0.543
September,2005,0.9690000000000001
October,2005,1.204
November,2005,0.7150000000000001
December,2005,0.466
January,2006,0.506
February,2006,1.92
March,2006,1.174
April,2006,0.512
May,2006,0.792
June,2006,0.376
July,2006,1.318
August,2006,1.4780000000000002
September,2006,1.928
October,2006,4.255
November,2006,0.6349999999999999
December,2006,1.6610000000000003
January,2007,0.8600000000000001
February,2007,0.4116
March,2007,0.19399999999999998
April,2007,0.256
May,2007,0.22400000000000003
June,2007,1.811
July,2007,0.7490000000000001
August,2007,0.193
September,2007,0.212
October,2007,1.423
November,2007,1.179
December,2007,0.546
January,2008,2.277
February,2008,0.06
March,2008,0.968
April,2008,1.11
May,2008,0.45699999999999996
June,2008,1.331
July,2008,0.418
August,2008,0.72
September,2008,0.256
October,2008,1.5733000000000001
November,2008,0.944
December,2008,0.8364
January,2009,0.3448
February,2009,0.188
March,2009,1.075
April,2009,0.35000000000000003
May,2009,0.16499999999999998
June,2009,0.76
July,2009,1.286
August,2009,0.46599999999999997
September,2009,0.534
October,2009,0.25980000000000003
November,2009,0.322
December,2009,0.276
January,2010,0.225
February,2010,2.0709999999999997
March,2010,0.30400000000000005
April,2010,0.22300000000000003
May,2010,0.6459999999999999
June,2010,0.7759999999999999
July,2010,0.27699999999999997
August,2010,1.0350000000000001
September,2010,0.5070000000000001
October,2010,0.33699999999999997
November,2010,0.738
December,2010,0.359
January,2011,0.5680000000000001
February,2011,0.6679999999999999
March,2011,0.369
April,2011,0.71
May,2011,0.878
June,2011,0.759
July,2011,1.0150000000000001
August,2011,0.9539999999999998
September,2011,0.264
October,2011,0.6799999999999999
November,2011,1.055
December,2011,0.608
January,2012,0.3644
February,2012,0.4615
March,2012,1.2214
April,2012,0.268
May,2012,0.202
June,2012,0.3334
July,2012,0.2673
September,2012,0.7863
October,2012,0.0311
November,2012,0.5377000000000001
December,2012,0.3357
January,2013,0.842
February,2013,0.182
March,2013,0.433
April,2013,0.505
May,2013,0.221
June,2013,0.447
July,2013,0.231
August,2013,0.0
September,2013,0.367
October,2013,0.33
November,2013,0.23399999999999999
December,2013,0.7240000000000001
January,2014,1.05768
March,2014,0.9890399999999999
April,2014,0.12246
May,2014,0.35256
June,2014,0.663
July,2014,0.41262
August,2014,0.34632
September,2014,1.2409799999999997
October,2014,0.7371000000000001
November,2014,0.48594
December,2014,0.45474000000000003
January,2015,0.697
February,2015,0.5760000000000001
March,2015,0.497
April,2015,0.484
May,2015,0.792
June,2015,0.831
July,2015,0.388
August,2015,0.395
September,2015,0.332
October,2015,0.237
November,2015,0.404
December,2015,0.366
January,2016,0.341
February,2016,0.528
March,2016,0.44299999999999995
April,2016,0.354
May,2016,0.842
June,2016,0.23399999999999999
July,2016,0.26
August,2016,0.028999999999999998
September,2016,0.026000000000000002
October,2016,0.0
November,2016,0.027999999999999997
December,2016,0.10800000000000001
