MonthName,Year,value_final
April,1998,1.52
June,1998,1.02
August,1998,1.14
October,1998,0.35
November,1998,1.2
December,1998,1.47
January,1999,2.62
February,1999,3.4
March,1999,3.1
April,1999,0.24
May,1999,0.86
June,1999,0.2
July,1999,0.8
August,1999,0.9
September,1999,0.57
October,1999,0.32
November,1999,2.61
December,1999,1.07
January,2000,1.19
February,2000,3.3
March,2000,1.78
April,2000,1.12
May,2000,1.73
June,2000,0.08
July,2000,1.44
August,2000,0.31
September,2000,1.64
October,2000,0.21
November,2000,0.58
December,2000,0.48
January,2001,0.53
February,2001,0.41
March,2001,0.66
April,2001,0.23
May,2001,0.27
June,2001,0.23
July,2001,0.35
August,2001,0.25
September,2001,0.42
November,2001,0.3
February,2002,1.45
March,2002,0.07
April,2002,0.17
May,2002,0.56
June,2002,0.61
July,2002,0.28
August,2002,0.4
September,2002,0.29
October,2002,1.27
December,2002,0.36
January,2003,0.97
February,2003,1.0
March,2003,0.52
April,2003,0.24
May,2003,0.95
June,2003,0.76
July,2003,1.33
August,2003,1.61
September,2003,0.32
October,2003,0.47
November,2003,0.57
December,2003,0.38
January,2004,1.12
March,2004,0.32899999999999996
April,2004,0.36
May,2004,0.332
June,2004,0.271
July,2004,1.14
August,2004,0.19
September,2004,0.225
October,2004,0.34
December,2004,0.24100000000000002
January,2005,0.78
February,2005,1.27
March,2005,0.684
April,2005,0.263
May,2005,0.10800000000000001
June,2005,0.53
July,2005,0.5589999999999999
August,2005,0.5379999999999999
September,2005,0.282
October,2005,0.47600000000000003
November,2005,0.163
December,2005,0.348
January,2006,0.16699999999999998
February,2006,1.19
March,2006,1.5
April,2006,0.156
May,2006,0.565
June,2006,1.33
July,2006,0.5760000000000001
August,2006,1.46
September,2006,1.72
October,2006,0.897
November,2006,0.14300000000000002
December,2006,0.45299999999999996
January,2007,0.365
February,2007,1.3
March,2007,0.46
April,2007,1.75
May,2007,0.8540000000000001
June,2007,0.667
July,2007,0.715
August,2007,0.396
September,2007,0.19399999999999998
October,2007,0.591
November,2007,0.613
December,2007,1.84
February,2008,1.22
March,2008,1.17
May,2008,0.887
June,2008,0.38799999999999996
July,2008,0.634
August,2008,0.6709999999999999
September,2008,0.27399999999999997
October,2008,0.616
November,2008,0.268
December,2008,0.2108
January,2009,0.374
February,2009,0.7
March,2009,0.243
April,2009,0.163
May,2009,0.195
June,2009,0.37799999999999995
July,2009,0.10300000000000001
August,2009,0.557
September,2009,0.14300000000000002
October,2009,0.264
November,2009,0.322
December,2009,0.243
January,2010,0.616
February,2010,0.489
March,2010,0.514
April,2010,0.055
May,2010,0.195
June,2010,0.249
July,2010,0.36200000000000004
August,2010,0.293
September,2010,0.115
October,2010,0.154
November,2010,0.649
December,2010,0.3
January,2011,0.188
February,2011,0.539
March,2011,0.41600000000000004
April,2011,0.127
May,2011,0.375
June,2011,0.605
August,2011,0.372
September,2011,0.182
November,2011,0.21200000000000002
December,2011,0.098
February,2012,0.8508
March,2012,0.373
April,2012,0.1406
May,2012,0.3535
July,2012,1.1057
August,2012,0.0365
October,2012,0.6658999999999999
November,2012,0.4243
December,2012,0.6821999999999999
January,2013,0.316
February,2013,0.625
March,2013,0.251
April,2013,0.336
May,2013,0.055
June,2013,0.845
July,2013,0.2502
August,2013,0.299
September,2013,0.212
October,2013,0.235
November,2013,0.44799999999999995
December,2013,1.347
January,2014,0.50544
March,2014,2.45934
April,2014,0.16302
May,2014,1.0553400000000002
June,2014,0.76752
July,2014,0.18252000000000002
August,2014,0.37829999999999997
September,2014,0.36114
October,2014,0.18330000000000002
November,2014,0.34164
December,2014,0.8119799999999999
January,2015,1.5669999999999997
February,2015,1.6560000000000001
March,2015,0.585
April,2015,0.636
May,2015,0.07400000000000001
June,2015,2.5999999999999996
July,2015,0.164
August,2015,0.253
September,2015,0.10700000000000001
October,2015,0.207
November,2015,0.16
December,2015,0.24
January,2016,0.26899999999999996
February,2016,0.976
March,2016,0.5640000000000001
April,2016,0.127
May,2016,0.25
June,2016,0.21000000000000002
July,2016,0.28500000000000003
August,2016,0.052000000000000005
September,2016,0.082
October,2016,0.06
November,2016,0.135
December,2016,0.5429999999999999
