MonthName,Year,value_final
January,2009,0.877
February,2009,0.475
March,2009,0.064
April,2009,0.136
May,2009,0.044000000000000004
June,2009,0.026000000000000002
July,2009,0.046
August,2009,0.057
September,2009,0.035
October,2009,3.995
November,2009,1.083
December,2009,0.644
January,2010,6.279
February,2010,4.609
March,2010,5.423
April,2010,4.254
May,2010,0.548
June,2010,0.14200000000000002
July,2010,0.43300000000000005
August,2010,0.557
September,2010,3.4570000000000003
October,2010,0.17800000000000002
November,2010,0.469
December,2010,0.484
January,2011,0.569
February,2011,0.7310000000000001
March,2011,2.5120000000000005
April,2011,0.141
May,2011,0.45300000000000007
June,2011,0.197
July,2011,0.369
August,2011,0.246
September,2011,0.193
October,2011,0.381
November,2011,0.401
December,2011,0.141
January,2012,2.489
February,2012,0.645
March,2012,6.398
April,2012,1.5670000000000002
May,2012,1.3609999999999998
July,2012,1.147
August,2012,0.29
September,2012,0.177
October,2012,1.6050000000000002
November,2012,0.383
December,2012,1.8169999999999997
January,2013,0.33899999999999997
February,2013,0.7020000000000001
March,2013,0.201
April,2013,0.14800000000000002
May,2013,0.109
June,2013,0.055
July,2013,0.025
August,2013,0.025
September,2013,0.068
October,2013,2.7939999999999996
November,2013,6.016
December,2013,5.245
January,2014,17.514
March,2014,0.228
May,2014,0.059000000000000004
June,2014,0.04
July,2014,3.972
September,2014,16.671
October,2014,15.732
November,2014,18.312
December,2014,8.71
January,2015,3.534
February,2015,4.662
March,2015,1.306
April,2015,0.755
May,2015,0.23600000000000002
June,2015,0.221
July,2015,0.255
August,2015,0.23800000000000002
September,2015,0.099
October,2015,0.29600000000000004
November,2015,0.16
December,2015,0.9
February,2016,7.17
March,2016,0.449
April,2016,0.135
May,2016,0.72
June,2016,0.115
July,2016,2.707
August,2016,0.03
September,2016,0.113
October,2016,0.015
November,2016,0.267
December,2016,1.002
