MonthName,Year,value_final
January,2009,0.5
February,2009,0.5
March,2009,0.5
April,2009,1.7
June,2009,0.5
July,2009,1.4
October,2009,1.0
November,2009,0.5
January,2010,0.5
February,2010,0.5
March,2010,0.5
April,2010,0.5
May,2010,1.3
June,2010,0.8
July,2010,1.7
August,2010,1.8
September,2010,1.0
October,2010,1.5
November,2010,1.5
December,2010,0.5
January,2011,1.0
February,2011,2.0
March,2011,2.0
April,2011,1.0
May,2011,1.3
June,2011,2.5
July,2011,1.2
August,2011,2.4
September,2011,2.9
October,2011,4.0
November,2011,0.0
December,2011,1.4
January,2012,0.0
February,2012,0.0
March,2012,0.0
April,2012,0.0
May,2012,0.0
June,2012,0.0
July,2012,0.0
August,2012,1.6
September,2012,1.3
October,2012,0.0
November,2012,1.4
December,2012,0.0
January,2013,0.0
February,2013,0.0
March,2013,0.0
April,2013,0.0
May,2013,0.0
June,2013,0.0
July,2013,1.0
August,2013,2.1
September,2013,1.1
October,2013,0.0
November,2013,0.0
December,2013,0.0
