MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,0.0
May,1998,0.0
June,1998,0.0
July,1998,0.0
August,1998,0.0
September,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
March,2004,0.242
July,2008,8.64
April,2010,5.8999999999999995
May,2010,6.5
June,2010,8.7
January,2012,0.0
February,2012,0.0
March,2012,0.0
April,2012,0.0
May,2012,0.0
June,2012,0.0
July,2012,0.0
August,2012,0.0
September,2012,0.0
October,2012,0.0
November,2012,0.0
December,2012,0.0
January,2013,0.0
February,2013,0.0
March,2013,0.0
April,2013,0.0
May,2013,0.0
June,2013,0.0
July,2013,0.0
August,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,0.0
December,2013,0.0
January,2014,0.0
February,2014,0.0
March,2014,0.0
April,2014,1.105
May,2014,0.0
June,2014,0.0
July,2014,2.5
August,2014,6.042
September,2014,4.7780000000000005
October,2014,3.118
November,2014,3.4240000000000004
December,2014,4.279999999999999
