MonthName,Year,value_final
October,1998,0.0
November,1998,0.0
December,1998,0.0
March,2004,2.227
February,2008,0.21
May,2008,0.39
June,2008,0.84
September,2008,0.31
October,2008,0.098
November,2008,0.51
December,2008,1.81
April,2009,1.8
May,2009,1.2
June,2009,0.88
July,2009,1.9
August,2009,1.2
October,2009,0.88
November,2009,0.89
December,2009,0.52
January,2010,0.75
February,2010,1.4
March,2010,0.93
April,2010,1.1
May,2010,0.95
June,2010,1.9
July,2010,1.2
August,2010,1.2
September,2010,0.47
October,2010,0.6
November,2010,0.75
December,2010,0.78
January,2011,1.4
February,2011,0.0
March,2011,1.5
April,2011,1.2
May,2011,1.6
June,2011,1.7
August,2011,3.0
September,2011,1.8
November,2011,3.2
December,2011,1.6
February,2012,3.5
July,2014,1.5
September,2014,1.6
October,2014,1.7
November,2014,1.2
December,2014,1.3
April,2016,1.8
