MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,0.0
May,1998,0.0
June,1998,0.0
July,1998,0.0
August,1998,0.0
September,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
March,2004,0.1
January,2008,1.38
February,2008,0.7
April,2008,0.8300000000000001
May,2008,0.61
June,2008,0.35
September,2008,1.45
October,2008,0.27999999999999997
November,2008,1.0699999999999998
April,2009,4.5
May,2009,3.9999999999999996
June,2009,3.1
July,2009,2.95
August,2009,3.5
September,2009,2.91
October,2009,2.7800000000000002
November,2009,2.47
December,2009,2.06
January,2010,2.61
February,2010,2.99
March,2010,2.49
April,2010,2.7
May,2010,2.7
June,2010,3.9999999999999996
July,2010,2.87
August,2010,2.2800000000000002
September,2010,1.98
October,2010,2.79
November,2010,2.66
December,2010,2.64
January,2011,0.0
February,2011,3.4000000000000004
March,2011,3.2
April,2011,3.3
May,2011,3.2
June,2011,4.9
July,2011,4.0
August,2011,3.7
September,2011,3.1
October,2011,4.6
January,2012,4.5
February,2012,4.7
October,2013,6.5
September,2014,4.5
October,2014,4.800000000000001
November,2014,4.4
