MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,0.0
May,1998,0.0
June,1998,0.0
July,1998,0.0
August,1998,0.0
September,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,2008,1.65
April,2008,0.8600000000000001
June,2008,0.43
September,2008,1.26
October,2008,0.203
November,2008,1.25
December,2008,2.8600000000000003
April,2009,5.1
May,2009,4.4
June,2009,3.14
July,2009,2.76
August,2009,1.83
September,2009,4.1
October,2009,2.56
November,2009,1.67
December,2009,1.7400000000000002
January,2010,2.83
February,2010,2.96
March,2010,2.95
April,2010,2.87
May,2010,3.8999999999999995
June,2010,2.68
July,2010,2.96
August,2010,3.4
September,2010,2.3
October,2010,2.75
November,2010,2.75
December,2010,2.56
January,2011,4.3
February,2011,7.700000000000001
March,2011,3.16
April,2011,3.8
May,2011,4.3
June,2011,4.4
July,2011,3.4
August,2011,2.3
September,2011,4.5
November,2011,3.3
December,2011,4.6
January,2012,5.0
February,2012,4.699999999999999
June,2012,5.0
January,2014,4.5
June,2014,4.8
September,2014,10.8
October,2014,4.7
November,2014,4.4
December,2014,4.199999999999999
January,2015,5.5
February,2015,4.7
March,2015,6.1
April,2015,6.4
January,2016,4.5
February,2016,6.5
March,2016,6.6000000000000005
April,2016,6.0
May,2016,7.1
June,2016,6.5
July,2016,5.8
August,2016,5.9
September,2016,7.4
October,2016,7.6
November,2016,8.399999999999999
December,2016,7.699999999999999
