MonthName,Year,value_final
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
March,2004,0.8190000000000001
July,2008,1.1
January,2010,2.6
February,2010,2.1
March,2010,1.12
April,2010,2.5
May,2010,2.0
June,2010,2.6
July,2010,2.79
August,2010,5.0
September,2010,2.8
October,2010,2.6
November,2010,2.3
December,2010,2.6
January,2011,2.7
February,2011,2.0
March,2011,2.1
April,2011,2.1
May,2011,2.6
June,2011,2.4
July,2011,3.9
August,2011,3.4
September,2011,3.1
October,2011,4.2
January,2012,2.2
February,2012,2.3
March,2012,0.0
April,2012,0.0
May,2012,0.0
June,2012,2.7
July,2012,2.7
August,2012,2.3
October,2012,3.0
November,2012,2.6
December,2012,0.0
January,2013,1.2
February,2013,0.0
March,2013,0.0
April,2013,1.1
May,2013,1.2
June,2013,1.9
July,2013,2.4
August,2013,2.9
September,2013,2.0
October,2013,2.2
November,2013,1.6
December,2013,1.6
January,2014,0.0
February,2014,0.0
March,2014,1.2
April,2014,1.4
May,2014,1.9
June,2014,2.3
July,2014,2.6
August,2014,3.0
September,2014,2.3
October,2014,2.0
November,2014,1.0
December,2014,0.0
