MonthName,Year,value_final
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
March,2004,0.622
January,2008,1.54
February,2008,1.14
April,2008,1.2
June,2008,0.39
September,2008,1.57
October,2008,0.275
November,2008,1.44
December,2008,2.63
April,2009,3.5999999999999996
May,2009,3.8
June,2009,3.9
August,2009,3.3000000000000003
September,2009,3.1
October,2009,2.83
November,2009,2.3
December,2009,2.37
January,2010,3.2
February,2010,2.63
March,2010,3.4999999999999996
April,2010,3.7
May,2010,3.78
June,2010,2.7
July,2010,2.85
August,2010,3.4
September,2010,2.75
October,2010,2.82
November,2010,2.12
December,2010,2.31
January,2011,4.2
February,2011,3.9000000000000004
March,2011,0.0
April,2011,3.7
May,2011,4.4
June,2011,4.3
July,2011,4.5
August,2011,4.5
September,2011,4.5
November,2011,3.8
December,2011,4.4
January,2012,5.2
February,2012,4.4
August,2014,5.8
September,2014,11.3
October,2014,4.6
November,2014,4.5
December,2014,5.0
January,2015,6.199999999999999
February,2015,6.0
March,2015,7.4
April,2015,7.699999999999999
January,2016,5.800000000000001
February,2016,6.700000000000001
March,2016,7.4
April,2016,6.1
May,2016,7.3
June,2016,6.300000000000001
July,2016,6.0
August,2016,5.5
September,2016,6.6
October,2016,6.0
November,2016,7.4
December,2016,7.800000000000001
