MonthName,Year,value_final
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
February,2008,0.36
May,2008,0.48
June,2008,0.84
September,2008,0.56
October,2008,0.11
November,2008,0.39
December,2008,2.0
April,2009,2.3
May,2009,1.2
June,2009,1.0
July,2009,2.3
August,2009,0.91
September,2009,0.83
October,2009,1.1
November,2009,0.87
December,2009,0.81
January,2010,1.1
February,2010,1.3
March,2010,1.0
April,2010,1.2
May,2010,1.3
June,2010,2.5
July,2010,1.3
August,2010,1.5
September,2010,0.55
October,2010,0.67
November,2010,1.2
December,2010,0.58
January,2011,1.5
February,2011,1.8
March,2011,1.5
April,2011,1.6
May,2011,1.6
June,2011,1.7
August,2011,3.2
September,2011,1.9
November,2011,3.2
December,2011,1.4
February,2012,3.4
July,2014,1.7
September,2014,1.8
October,2014,1.8
November,2014,1.6
December,2014,1.6
