MonthName,Year,value_final
January,2009,0.3
February,2009,0.3
March,2009,0.3
April,2009,0.3
June,2009,0.3
July,2009,0.3
October,2009,0.3
November,2009,0.3
January,2010,0.4
February,2010,0.25
March,2010,0.25
April,2010,0.25
May,2010,0.25
June,2010,0.25
July,2010,0.25
August,2010,0.25
September,2010,0.25
October,2010,0.25
November,2010,0.25
December,2010,0.25
January,2011,0.5
February,2011,1.0
March,2011,1.0
April,2011,0.5
May,2011,0.0
June,2011,0.0
July,2011,0.0
August,2011,0.0
September,2011,0.0
October,2011,0.0
November,2011,0.0
December,2011,0.0
January,2012,0.25
February,2012,0.25
March,2012,0.25
April,2012,0.25
May,2012,0.25
June,2012,0.25
July,2012,0.25
August,2012,0.25
September,2012,0.25
October,2012,0.25
November,2012,0.25
December,2012,0.25
January,2013,0.0
February,2013,0.0
March,2013,0.0
April,2013,0.0
May,2013,0.0
June,2013,0.0
July,2013,0.0
August,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,0.0
December,2013,0.0
February,2015,0.0
June,2015,0.0
August,2015,0.0
October,2015,0.0
January,2016,0.0
June,2016,0.0
August,2016,0.0
October,2016,0.0
