MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,0.61
May,1998,0.0
June,1998,0.85
July,1998,0.0
August,1998,1.2
September,1998,0.0
October,1998,1.3900000000000001
November,1998,0.0
December,1998,0.0
January,1999,4.4
February,1999,35.21999999999999
March,1999,10.4
April,1999,1.9
May,1999,15.500000000000002
June,1999,3.87
July,1999,3.63
August,1999,1.53
September,1999,1.3599999999999999
October,1999,1.69
November,1999,3.65
December,1999,17.83
January,2000,1.3599999999999999
February,2000,4.2700000000000005
March,2000,0.52
April,2000,4.17
May,2000,5.180000000000001
June,2000,7.289999999999999
July,2000,5.66
August,2000,10.93
September,2000,3.8099999999999996
October,2000,3.4299999999999997
November,2000,1.8
December,2000,1.74
May,2001,19.939999999999998
June,2001,11.18
July,2001,6.1000000000000005
August,2001,3.74
September,2001,1.2000000000000002
October,2001,5.22
November,2001,15.26
December,2001,5.9
March,2002,5.7
April,2002,0.8499999999999999
May,2002,3.3500000000000005
June,2002,3.15
August,2002,1.55
September,2002,4.99
October,2002,1.69
November,2002,3.8099999999999996
December,2002,1.4100000000000001
January,2003,11.93
February,2003,12.052
March,2003,5.069999999999999
April,2003,11.389999999999999
June,2003,7.040000000000001
July,2003,2.378
August,2003,8.241999999999999
October,2003,5.495
November,2003,6.702999999999999
December,2003,1.3079999999999998
January,2004,0.0
February,2004,15.131
March,2004,0.9440000000000001
April,2004,32.052
May,2004,11.127
June,2004,32.534
July,2004,9.506
August,2004,13.676
September,2004,15.684000000000001
October,2004,19.575
November,2004,16.341
December,2004,4.3149999999999995
January,2005,22.599
February,2005,5.4510000000000005
March,2005,8.523
April,2005,51.409000999999996
May,2005,38.610999
June,2005,33.584
July,2005,56.816998
August,2005,5.840999999999999
October,2005,117.281997
November,2005,12.876000000000001
December,2005,20.372
January,2006,46.724
April,2006,10.547
May,2006,64.159
June,2006,13.750999999999998
July,2006,2.895
August,2006,2.238
September,2006,1.841
October,2006,0.9769999999999999
November,2006,1.59
December,2006,1.391
January,2007,7.843999999999999
February,2007,8.010000000000002
March,2007,7.704000000000001
April,2007,58.92
May,2007,185.21600000000004
June,2007,6.096
July,2007,1.07
August,2007,0.34099999999999997
September,2007,3.4059999999999997
October,2007,0.28300000000000003
November,2007,9.367999999999999
December,2007,0.655
April,2010,2.6999999999999997
May,2010,3.1500000000000004
June,2010,2.9399999999999995
July,2010,0.30000000000000004
August,2010,17.4312
September,2010,15.6581
October,2010,7.3245000000000005
November,2010,6.279999999999999
December,2010,6.4366
January,2011,18.891
February,2011,12.861
March,2011,7.2897
April,2011,1.8188
May,2011,1.5119999999999998
June,2011,1.0833
July,2011,1.4113
August,2011,1.871
September,2011,0.8999999999999999
October,2011,0.3
November,2011,0.8999999999999999
December,2011,0.8999999999999999
January,2012,0.0
February,2012,0.0
March,2012,1.2159
April,2012,1.585
May,2012,3.3499999999999996
June,2012,3.1579999999999995
July,2012,1.0158
August,2012,1.148
September,2012,0.341
October,2012,1.77
November,2012,0.0
December,2012,0.0
January,2013,0.0
February,2013,0.0
March,2013,0.0
April,2013,0.2
May,2013,0.0
June,2013,0.0
July,2013,0.0
August,2013,0.0
September,2013,0.322
October,2013,1.3031000000000001
November,2013,0.341
December,2013,0.7769999999999999
January,2014,1.355
February,2014,0.0
March,2014,0.0
April,2014,0.184
May,2014,0.0
June,2014,0.0
July,2014,0.0
August,2014,0.0
September,2014,0.195
October,2014,0.165
November,2014,0.0
December,2014,0.0
