MonthName,Year,value_final
October,1998,0.32
November,1998,0.32
December,1998,0.23
January,1999,2.29
February,1999,26.5
March,1999,1.0
April,1999,0.0
May,1999,0.16
June,1999,5.56
July,1999,1.6600000000000001
August,1999,4.91
September,1999,1.15
October,1999,1.22
November,1999,4.17
December,1999,2.26
January,2000,0.83
February,2000,1.12
March,2000,2.62
April,2000,2.03
May,2000,2.58
June,2000,1.35
July,2000,1.05
August,2000,12.1
September,2000,0.05
October,2000,43.0
November,2000,1.21
December,2000,0.72
January,2001,2.98
February,2001,2.04
March,2001,0.5
May,2001,2.51
June,2001,5.0
July,2001,4.26
August,2001,1.98
September,2001,0.05
November,2001,0.08
March,2002,1.09
April,2002,1.5
June,2002,3.89
August,2002,0.68
September,2002,0.9
October,2002,1.3800000000000001
December,2002,0.31
January,2003,0.042
February,2003,0.177
March,2003,0.65
April,2003,0.12
May,2003,0.14
June,2003,0.41200000000000003
July,2003,1.2209999999999999
August,2003,0.189
September,2003,0.684
October,2003,0.643
November,2003,0.1
January,2004,0.336
February,2004,0.095
March,2004,0.768
April,2004,1.0190000000000001
May,2004,0.13
June,2004,0.309
July,2004,0.266
August,2004,0.231
September,2004,0.765
October,2004,0.8270000000000001
November,2004,0.35
December,2004,0.05
January,2005,0.22899999999999998
February,2005,0.05
March,2005,0.523
April,2005,3.736
May,2005,0.91
June,2005,0.8740000000000001
July,2005,5.821000000000001
August,2005,0.7509999999999999
September,2005,3.998
October,2005,0.05
November,2005,1.942
January,2006,0.21899999999999997
April,2006,0.35100000000000003
May,2006,1.525
June,2006,0.19399999999999998
July,2006,0.05
August,2006,0.9309999999999999
September,2006,0.409
October,2006,0.48200000000000004
November,2006,0.48100000000000004
December,2006,0.159
January,2007,0.05
February,2007,0.978
March,2007,0.05
April,2007,0.05
May,2007,0.337
June,2007,0.156
July,2007,6.306
August,2007,0.05
September,2007,0.05
October,2007,0.42200000000000004
November,2007,0.527
December,2007,0.6829999999999999
February,2008,0.075
May,2008,0.25
June,2008,0.4
September,2008,1.12
October,2008,1.6
November,2008,2.1
December,2008,2.7
April,2009,1.5
May,2009,1.6
June,2009,0.93
July,2009,1.2
August,2009,1.0
October,2009,0.47
November,2009,0.21
December,2009,0.3
January,2010,0.25
February,2010,0.21
March,2010,0.25
April,2010,0.29
May,2010,0.19
June,2010,0.8
July,2010,0.33
August,2010,0.27
September,2010,0.93
October,2010,0.61
November,2010,0.15
December,2010,0.4
January,2011,0.0
February,2011,0.0
March,2011,0.14
April,2011,0.2
May,2011,0.1
June,2011,0.15
August,2011,0.32
September,2011,0.14
November,2011,0.29000000000000004
December,2011,0.0
February,2012,0.12
July,2014,0.0
September,2014,0.0
October,2014,0.0
November,2014,0.0
December,2014,0.0
February,2016,1.2464
March,2016,1.158
April,2016,0.9815
May,2016,0.2692
June,2016,0.0
July,2016,0.4004
August,2016,0.0
September,2016,0.2716
October,2016,0.59
November,2016,0.4716
December,2016,1.006
