MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,1.75
May,1998,0.0
June,1998,1.6500000000000001
July,1998,0.0
August,1998,2.27
September,1998,0.0
October,1998,1.0899999999999999
November,1998,1.3199999999999998
December,1998,2.77
January,1999,6.140000000000001
February,1999,2.38
March,1999,3.73
April,1999,0.0
May,1999,0.76
June,1999,3.4299999999999997
July,1999,2.61
August,1999,4.08
September,1999,4.11
October,1999,3.83
November,1999,17.92
December,1999,12.629999999999999
January,2000,2.8200000000000003
February,2000,7.43
March,2000,1.29
April,2000,4.85
May,2000,6.970000000000001
June,2000,3.4299999999999997
July,2000,3.87
August,2000,9.85
September,2000,2.46
October,2000,2.4
November,2000,4.7299999999999995
December,2000,4.67
January,2001,16.1
February,2001,8.99
March,2001,1.56
May,2001,11.07
June,2001,10.3
July,2001,15.62
August,2001,2.67
September,2001,0.56
November,2001,1.7799999999999998
February,2002,0.9500000000000001
March,2002,3.29
April,2002,3.72
May,2002,16.009999999999998
June,2002,11.950000000000001
August,2002,3.5899999999999994
September,2002,5.19
October,2002,4.88
November,2002,3.63
December,2002,1.19
January,2003,7.692
February,2003,5.359999999999999
March,2003,8.41
April,2003,7.13
May,2003,13.399999999999999
June,2003,20.166
July,2003,5.9190000000000005
August,2003,2.908
September,2003,3.0410000000000004
October,2003,2.815
November,2003,4.893999999999999
January,2004,4.339
February,2004,5.901
March,2004,5.694000000000001
April,2004,5.1930000000000005
May,2004,1.182
June,2004,1.1380000000000001
July,2004,12.08
August,2004,4.54
September,2004,5.247999999999999
October,2004,3.0140000000000002
November,2004,1.676
December,2004,1.3890000000000002
January,2005,1.277
February,2005,0.704
March,2005,2.5839999999999996
April,2005,8.387
May,2005,1.708
June,2005,1.595
July,2005,27.754
August,2005,7.154
September,2005,0.8570000000000001
October,2005,1.8210000000000002
November,2005,6.313999999999999
January,2006,2.3320000000000003
April,2006,9.215
June,2006,3.237
July,2006,0.918
August,2006,6.746999999999999
September,2006,1.6139999999999999
October,2006,4.729
November,2006,3.4239999999999995
December,2006,1.2020000000000002
January,2007,2.705
February,2007,2.32
March,2007,1.3450000000000002
April,2007,1.963
May,2007,0.264
June,2007,0.3
July,2007,21.379999999999995
August,2007,0.3
September,2007,2.817
October,2007,2.054
November,2007,1.5
December,2007,0.653
January,2008,0.37
February,2008,0.21300000000000002
April,2008,0.38
May,2008,0.59
June,2008,0.21
September,2008,18.1
October,2008,4.1
November,2008,2.78
April,2009,3.8
May,2009,3.1
June,2009,4.3
July,2009,2.9299999999999997
August,2009,2.62
September,2009,1.18
October,2009,1.02
November,2009,0.77
December,2009,0.53
January,2010,0.5700000000000001
February,2010,0.36
March,2010,0.88
April,2010,0.75
May,2010,0.9099999999999999
June,2010,0.91
July,2010,0.62
August,2010,0.73
September,2010,0.8899999999999999
October,2010,0.63
November,2010,0.8899999999999999
December,2010,0.76
January,2011,0.4600000000000001
February,2011,0.11
March,2011,0.67
April,2011,0.33999999999999997
May,2011,0.4
June,2011,0.4
July,2011,0.0
August,2011,0.0
September,2011,0.0
October,2011,0.31000000000000005
November,2011,0.33
December,2011,0.2
January,2012,0.1
February,2012,0.0
October,2013,0.0
September,2014,0.0
October,2014,0.0
November,2014,0.0
February,2016,0.374
March,2016,0.2347
April,2016,0.0
May,2016,0.39039999999999997
June,2016,0.0
July,2016,0.0
August,2016,0.0
September,2016,0.0
October,2016,0.0
November,2016,0.44189999999999996
December,2016,0.257
