MonthName,Year,value_final
January,2009,0.3
February,2009,0.3
March,2009,0.3
September,2009,0.3
January,2010,3.68
January,2011,0.21
February,2011,0.3
April,2011,0.16
May,2011,4.94
June,2011,3.38
January,2012,0.0
February,2012,0.0
March,2012,0.0
April,2012,7.5
May,2012,0.0
June,2012,0.0
July,2012,0.0
August,2012,0.0
September,2012,0.0
October,2012,0.2
November,2012,0.0
December,2012,0.57
January,2013,0.3
February,2013,0.89
March,2013,0.73
April,2013,0.37
May,2013,0.23
June,2013,0.37
July,2013,0.21
September,2013,0.0
November,2013,0.43
December,2013,0.49
June,2014,0.0
July,2014,0.21
August,2014,0.0
September,2014,0.0
October,2014,0.0
November,2014,0.22
December,2014,0.22
February,2015,0.54
March,2015,0.6
May,2015,0.24
August,2015,0.16
September,2015,0.22
