MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,1.97
May,1998,0.0
June,1998,1.95
July,1998,0.0
August,1998,5.609999999999999
September,1998,0.0
October,1998,1.7200000000000002
November,1998,2.45
December,1998,0.51
January,1999,1.67
February,1999,22.89
March,1999,3.0
April,1999,0.0
May,1999,0.72
June,1999,24.01
July,1999,5.43
August,1999,5.32
September,1999,2.8400000000000003
October,1999,3.9699999999999998
November,1999,5.6
December,1999,9.69
January,2000,0.2
February,2000,2.13
March,2000,2.3200000000000003
April,2000,6.4799999999999995
May,2000,4.880000000000001
June,2000,4.34
July,2000,6.82
August,2000,11.5
September,2000,2.9000000000000004
October,2000,0.03
November,2000,0.8300000000000001
December,2000,3.91
January,2001,5.16
February,2001,6.64
March,2001,17.9
May,2001,62.51
June,2001,11.3
July,2001,15.89
August,2001,4.49
September,2001,5.079999999999999
December,2001,0.9199999999999999
March,2002,7.38
April,2002,6.890000000000001
June,2002,3.61
August,2002,1.19
September,2002,1.8000000000000003
October,2002,2.94
November,2002,2.87
December,2002,1.45
January,2003,10.07
February,2003,2.77
March,2003,22.22
April,2003,10.489999999999998
May,2003,12.89
June,2003,1.427
July,2003,12.302
August,2003,1.34
September,2003,2.114
October,2003,1.443
November,2003,3.317
February,2004,0.856
April,2004,3.027
May,2004,0.694
June,2004,0.629
July,2004,0.871
August,2004,0.562
September,2004,1.332
October,2004,1.155
November,2004,1.197
December,2004,1.5790000000000002
January,2005,0.668
February,2005,1.877
March,2005,0.15000000000000002
April,2005,1.1680000000000001
May,2005,0.627
June,2005,0.607
July,2005,0.226
August,2005,1.494
September,2005,0.15000000000000002
October,2005,0.15000000000000002
January,2006,1.018
April,2006,2.91
May,2006,4.005000000000001
June,2006,0.15000000000000002
July,2006,0.15000000000000002
August,2006,0.6170000000000001
September,2006,0.46599999999999997
October,2006,0.75
November,2006,0.8219999999999998
December,2006,0.374
January,2007,2.327
February,2007,1.208
March,2007,0.15000000000000002
April,2007,0.185
May,2007,0.891
June,2007,0.15000000000000002
July,2007,0.8430000000000001
August,2007,0.15000000000000002
September,2007,0.15000000000000002
October,2007,1.1019999999999999
November,2007,1.975
December,2007,0.21800000000000003
January,2008,0.316
April,2008,0.254
June,2008,4.2
September,2008,2.61
October,2008,3.0600000000000005
November,2008,3.2800000000000002
December,2008,3.3
April,2009,11.9
May,2009,6.300000000000001
June,2009,3.9
July,2009,3.4
August,2009,2.65
September,2009,2.7
October,2009,1.24
November,2009,0.53
December,2009,0.9600000000000001
January,2010,0.75
February,2010,0.4
March,2010,0.52
April,2010,1.1400000000000001
May,2010,1.19
June,2010,0.21000000000000002
July,2010,0.30000000000000004
August,2010,0.202
September,2010,0.52
October,2010,0.44000000000000006
November,2010,0.51
December,2010,0.87
January,2011,0.1
February,2011,0.31000000000000005
March,2011,0.75
April,2011,0.0
May,2011,0.0
June,2011,0.37
July,2011,0.0
August,2011,0.0
September,2011,0.1
October,2011,0.0
November,2011,0.33999999999999997
December,2011,0.0
January,2012,0.1
February,2012,0.0
June,2012,0.35
January,2014,0.0
June,2014,0.0
September,2014,0.278
October,2014,0.26
November,2014,0.0
December,2014,0.0
January,2015,0.0
February,2015,0.0
March,2015,0.0
April,2015,0.0
May,2015,0.0
June,2015,0.0
July,2015,0.0
August,2015,0.0
September,2015,0.53
October,2015,0.0
November,2015,0.0
December,2015,0.0
January,2016,0.35
February,2016,0.0
March,2016,0.76
April,2016,0.0
May,2016,0.0
June,2016,0.54
July,2016,0.0
August,2016,0.0
September,2016,0.0
October,2016,0.0
November,2016,0.0
December,2016,0.0
