MonthName,Year,value_final
April,1998,2.76
June,1998,45.6
August,1998,0.19
October,1998,0.0
November,1998,2.5
December,1998,1.47
January,1999,6.68
February,1999,6.68
March,1999,13.27
April,1999,0.0
May,1999,0.14
June,1999,0.75
July,1999,2.9299999999999997
August,1999,2.02
September,1999,3.02
October,1999,1.17
November,1999,5.07
December,1999,9.53
January,2000,1.34
February,2000,1.5
March,2000,0.48
April,2000,0.93
May,2000,1.81
June,2000,1.79
July,2000,2.3600000000000003
August,2000,10.2
September,2000,0.81
October,2000,1.47
November,2000,1.16
December,2000,1.49
January,2001,7.96
February,2001,8.05
March,2001,2.78
May,2001,3.16
June,2001,3.1
July,2001,17.16
August,2001,1.48
October,2001,1.15
November,2001,0.05
December,2001,0.82
March,2002,1.41
April,2002,1.09
May,2002,0.15
June,2002,1.83
August,2002,0.86
September,2002,1.1
October,2002,1.42
November,2002,0.37
December,2002,0.54
January,2003,0.75
February,2003,1.34
March,2003,0.74
April,2003,0.84
May,2003,2.97
June,2003,0.92
July,2003,0.971
August,2003,4.13
September,2003,3.0410000000000004
November,2003,0.40299999999999997
December,2003,0.365
February,2004,1.103
March,2004,1.7930000000000001
April,2004,0.304
May,2004,1.13
July,2004,1.025
August,2004,0.6
September,2004,1.136
October,2004,0.273
November,2004,0.655
December,2004,0.057
January,2005,0.444
February,2005,0.595
March,2005,0.129
April,2005,2.365
May,2005,1.636
June,2005,0.856
July,2005,0.8170000000000001
August,2005,0.759
October,2005,0.289
November,2005,0.05
December,2005,0.05
January,2006,0.504
April,2006,0.05
May,2006,0.18600000000000003
June,2006,0.483
July,2006,0.312
August,2006,0.36700000000000005
September,2006,0.05
October,2006,0.369
November,2006,0.344
December,2006,0.22899999999999998
January,2007,0.28600000000000003
February,2007,0.9
March,2007,0.05
April,2007,0.05
May,2007,0.228
June,2007,0.267
July,2007,0.669
August,2007,0.218
September,2007,1.072
October,2007,0.37
December,2007,0.289
January,2010,0.16399999999999998
February,2010,0.126
March,2010,0.19699999999999998
April,2010,0.209
May,2010,0.225
June,2010,0.18100000000000002
July,2010,0.212
August,2010,0.222
September,2010,0.109
October,2010,0.24600000000000002
November,2010,0.134
December,2010,0.192
January,2011,1.53
February,2011,0.742
March,2011,0.41
April,2011,0.8
May,2011,0.326
June,2011,0.15
July,2011,0.585
August,2011,0.677
September,2011,0.68
October,2011,0.8320000000000001
November,2011,0.91
December,2011,0.72
January,2012,0.32
February,2012,0.997
March,2012,0.0
April,2012,0.0
May,2012,0.0
June,2012,0.0
July,2012,0.0
August,2012,0.0
October,2012,0.0
November,2012,0.0
December,2012,0.0
January,2013,0.0
February,2013,0.0
March,2013,0.0
April,2013,0.0
May,2013,0.0
June,2013,0.0
July,2013,0.0
August,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,0.0
December,2013,0.0
January,2014,0.0
February,2014,0.0
March,2014,0.0
April,2014,0.0
May,2014,0.0
June,2014,0.0
July,2014,0.0
August,2014,0.0
September,2014,0.0
October,2014,0.0
November,2014,0.0
December,2014,0.0
