MonthName,Year,value_final
April,1998,0.61
June,1998,0.35
August,1998,1.57
October,1998,0.63
November,1998,0.13
December,1998,0.18000000000000002
January,1999,1.24
February,1999,3.0
March,1999,3.0
April,1999,0.0
May,1999,37.74
June,1999,21.509999999999998
July,1999,31.349999999999998
August,1999,4.47
September,1999,2.3400000000000003
October,1999,4.35
November,1999,5.54
December,1999,13.219999999999999
January,2000,0.76
February,2000,3.34
March,2000,4.89
April,2000,4.49
May,2000,3.6399999999999997
June,2000,3.13
July,2000,4.02
August,2000,16.04
September,2000,0.7899999999999999
October,2000,0.03
November,2000,1.35
December,2000,3.9
January,2001,6.78
February,2001,6.859999999999999
March,2001,16.05
May,2001,68.2
June,2001,11.5
July,2001,14.78
August,2001,1.9600000000000002
September,2001,1.34
December,2001,2.4200000000000004
March,2002,6.99
April,2002,4.529999999999999
June,2002,0.61
August,2002,1.7599999999999998
September,2002,1.21
October,2002,5.87
November,2002,4.76
December,2002,1.0
January,2003,8.2
February,2003,4.13
March,2003,30.15
April,2003,10.120000000000001
May,2003,12.700000000000001
June,2003,1.6159999999999999
July,2003,3.6959999999999997
August,2003,0.3
September,2003,0.33799999999999997
October,2003,2.2489999999999997
November,2003,12.879
January,2004,2.141
February,2004,0.6669999999999999
March,2004,1.1989999999999998
April,2004,0.517
May,2004,1.149
June,2004,1.777
July,2004,1.5150000000000001
August,2004,0.9570000000000001
September,2004,0.588
October,2004,0.956
November,2004,0.833
December,2004,0.484
January,2005,0.6619999999999999
February,2005,3.876
March,2005,0.242
April,2005,0.30600000000000005
May,2005,0.614
June,2005,0.21800000000000003
July,2005,1.267
August,2005,0.33399999999999996
September,2005,0.278
October,2005,0.15000000000000002
January,2006,0.877
April,2006,0.58
May,2006,1.698
June,2006,0.15000000000000002
July,2006,0.15000000000000002
August,2006,1.1540000000000001
September,2006,0.9870000000000001
October,2006,0.93
November,2006,0.923
December,2006,0.522
January,2007,0.15000000000000002
February,2007,0.15000000000000002
March,2007,0.15000000000000002
April,2007,0.15000000000000002
May,2007,3.812
June,2007,0.15000000000000002
July,2007,0.229
August,2007,0.15000000000000002
September,2007,0.15000000000000002
October,2007,1.432
November,2007,3.566
December,2007,0.305
January,2008,0.296
February,2008,0.10800000000000001
April,2008,0.274
June,2008,0.45
September,2008,2.2
October,2008,3.18
November,2008,4.9
December,2008,3.3000000000000003
April,2009,3.2
May,2009,4.6
June,2009,3.6999999999999997
July,2009,2.95
August,2009,2.93
September,2009,2.88
October,2009,1.5699999999999998
November,2009,0.6
December,2009,0.98
January,2010,0.66
February,2010,0.6
March,2010,0.61
April,2010,0.89
May,2010,0.81
June,2010,0.8999999999999999
July,2010,1.1
August,2010,0.81
September,2010,0.41000000000000003
October,2010,0.38
November,2010,0.37
December,2010,0.5
January,2011,0.0
February,2011,0.0
March,2011,0.61
April,2011,0.21000000000000002
May,2011,0.33999999999999997
June,2011,0.4
July,2011,0.33999999999999997
August,2011,0.38
September,2011,0.0
October,2011,0.32
November,2011,0.35
December,2011,0.0
January,2012,0.1
February,2012,0.0
August,2014,0.56
September,2014,0.0
October,2014,0.0
November,2014,0.0
December,2014,0.0
January,2015,0.0
February,2015,0.0
March,2015,0.0
April,2015,0.0
May,2015,0.0
June,2015,0.0
July,2015,0.0
August,2015,0.0
September,2015,0.0
October,2015,0.19
November,2015,0.0
December,2015,0.0
January,2016,0.73
February,2016,0.0
March,2016,0.4
April,2016,0.0
May,2016,0.0
June,2016,0.5700000000000001
July,2016,0.0
August,2016,0.22
September,2016,0.0
October,2016,0.45
November,2016,0.16
December,2016,0.0
