MonthName,Year,value_final
April,1998,1.89
June,1998,3.59
August,1998,0.52
October,1998,0.99
November,1998,0.24
December,1998,0.31
January,1999,1.57
February,1999,1.78
March,1999,1.0
April,1999,0.11
May,1999,0.23
June,1999,3.56
July,1999,1.42
August,1999,6.24
September,1999,1.87
October,1999,1.02
November,1999,3.81
December,1999,3.69
January,2000,1.92
February,2000,2.32
March,2000,0.66
April,2000,1.07
May,2000,1.64
June,2000,1.09
July,2000,0.8
August,2000,9.2
September,2000,1.88
October,2000,1.01
November,2000,1.52
December,2000,0.71
January,2001,4.03
February,2001,9.2
March,2001,0.36
May,2001,8.14
June,2001,5.7
July,2001,0.7
August,2001,0.79
November,2001,1.24
March,2002,1.23
April,2002,0.51
June,2002,2.25
August,2002,0.81
September,2002,1.0
October,2002,1.42
December,2002,0.32
January,2003,2.19
February,2003,0.691
March,2003,0.68
April,2003,0.12
May,2003,0.1
June,2003,0.361
July,2003,5.2410000000000005
August,2003,0.6910000000000001
September,2003,0.392
October,2003,0.264
November,2003,0.1
January,2004,0.647
February,2004,1.395
March,2004,0.45899999999999996
April,2004,5.081
May,2004,0.153
June,2004,0.177
July,2004,0.306
August,2004,0.183
September,2004,0.5920000000000001
October,2004,0.318
November,2004,0.605
December,2004,0.05
January,2005,0.23399999999999999
February,2005,0.10099999999999999
March,2005,0.28
April,2005,6.956
May,2005,0.9540000000000001
June,2005,0.665
July,2005,7.212999999999999
August,2005,2.164
September,2005,3.763
October,2005,0.05
November,2005,3.005
January,2006,0.21600000000000003
April,2006,0.307
May,2006,2.654
June,2006,0.20800000000000002
July,2006,0.05
August,2006,0.41200000000000003
September,2006,0.05
October,2006,0.441
November,2006,1.6769999999999998
December,2006,0.297
January,2007,0.05
February,2007,0.877
March,2007,0.5920000000000001
April,2007,7.167000000000001
May,2007,0.8440000000000001
June,2007,0.39
July,2007,2.423
August,2007,0.05
September,2007,0.12
October,2007,0.589
November,2007,0.9259999999999999
December,2007,0.133
February,2008,0.038
May,2008,0.27
June,2008,0.98
September,2008,2.0
October,2008,3.4
November,2008,3.4
December,2008,2.4
April,2009,38.0
May,2009,1.3
June,2009,1.4
July,2009,1.5
August,2009,1.0
September,2009,0.58
October,2009,0.83
November,2009,0.24
December,2009,0.36
January,2010,0.52
February,2010,0.14
March,2010,0.25
April,2010,0.35
May,2010,0.37
June,2010,0.33
July,2010,0.27
August,2010,0.4
September,2010,0.23
October,2010,0.19
November,2010,0.29
December,2010,0.15
January,2011,0.0
February,2011,0.0
March,2011,0.2
April,2011,0.0
May,2011,0.0
June,2011,0.12
August,2011,0.28
September,2011,0.11
November,2011,0.33
December,2011,0.0
February,2012,0.1
July,2014,0.0
September,2014,0.0
October,2014,0.0
November,2014,0.0
December,2014,0.0
February,2016,1.5375
March,2016,2.016
April,2016,0.5084
May,2016,0.8214
June,2016,0.7032
July,2016,1.0132
August,2016,0.0
September,2016,0.9824
October,2016,1.383
November,2016,0.4782
December,2016,1.4169999999999998
