MonthName,Year,value_final
January,2009,0.5
February,2009,0.6
March,2009,0.0
April,2009,0.7
June,2009,0.0
July,2009,0.6
October,2009,0.6
November,2009,3.8
January,2010,0.5
February,2010,0.3
March,2010,0.8
April,2010,0.4
May,2010,2.3
June,2010,0.6
July,2010,0.3
August,2010,0.6
September,2010,0.3
October,2010,0.8
March,2011,0.0
April,2011,0.0
May,2011,0.0
June,2011,0.0
July,2011,0.0
August,2011,1.1
September,2011,0.0
October,2011,0.0
November,2011,0.0
December,2011,0.0
January,2012,1.5
February,2012,0.0
March,2012,0.0
April,2012,0.0
May,2012,0.0
June,2012,1.9
July,2012,0.0
August,2012,0.0
September,2012,0.0
October,2012,0.0
November,2012,0.0
December,2012,0.0
January,2013,0.0
February,2013,0.0
March,2013,0.0
April,2013,0.0
May,2013,0.0
June,2013,0.0
July,2013,0.0
August,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,0.0
December,2013,0.0
