MonthName,Year,value_final
January,1998,17.0
February,1998,9.0
March,1998,6.0
April,1998,43.0
May,1998,19.0
June,1998,21.0
July,1998,0.0
August,1998,40.0
September,1998,15.0
October,1998,40.0
November,1998,0.0
December,1998,15.0
January,1999,22.0
February,1999,45.0
March,1999,15.0
April,1999,27.0
May,1999,19.0
June,1999,22.0
July,1999,26.0
August,1999,16.0
September,1999,11.0
October,1999,22.0
November,1999,22.0
December,1999,8.0
January,2000,36.33
February,2000,47.730000000000004
March,2000,54.980000000000004
April,2000,4.0
May,2000,67.42
June,2000,3.0
July,2000,7.0
August,2000,64.0
September,2000,13.0
October,2000,6.0
November,2000,45.0
December,2000,36.0
April,2001,40.0
May,2001,21.0
June,2001,15.0
July,2001,58.93
August,2001,37.82
September,2001,64.82
October,2001,7.779999999999999
November,2001,97.65
December,2001,38.230000000000004
March,2002,55.22
April,2002,24.93
May,2002,15.850000000000001
June,2002,2.1500000000000004
August,2002,13.84
September,2002,41.22
October,2002,92.17
November,2002,12.0
December,2002,4.71
January,2003,9.1
February,2003,5.415000000000001
March,2003,4.37
April,2003,8.86
June,2003,10.89
July,2003,7.054
August,2003,8.704
October,2003,18.240000000000002
November,2003,27.779999999999998
December,2003,17.4
February,2004,28.792
March,2004,12.200000000000001
April,2004,23.640000000000004
May,2004,8.466000000000001
June,2004,16.635
July,2004,37.010000000000005
August,2004,23.113
September,2004,4.477
October,2004,16.474
November,2004,11.736
December,2004,14.071
January,2005,20.059
February,2005,7.163
March,2005,10.857
April,2005,7.431000000000001
May,2005,5.422
June,2005,5.372
July,2005,2.2449999999999997
August,2005,3.7940000000000005
September,2005,16.471
October,2005,14.722999999999999
November,2005,6.311999999999999
December,2005,9.461
January,2006,20.424
February,2006,9.881
March,2006,32.995
April,2006,22.336
May,2006,4.006
June,2006,21.099
July,2006,1.2209999999999999
August,2006,6.754
September,2006,5.538
October,2006,0.869
November,2006,16.724
December,2006,2.79
January,2007,6.67
February,2007,9.812
March,2007,47.085
April,2007,9.855
May,2007,17.503
June,2007,13.778
July,2007,15.865
August,2007,4.82
September,2007,7.427
October,2007,5.763999999999999
November,2007,6.524000000000001
December,2007,7.946
April,2010,9.8
May,2010,13.9
June,2010,14.700000000000001
July,2010,6.0
August,2010,116.3761
September,2010,64.2658
October,2010,30.68
November,2010,7.9499
December,2010,6.114
January,2011,21.362000000000002
February,2011,1.7533
March,2011,10.9502
April,2011,6.7086
May,2011,2.231
June,2011,12.9606
July,2011,23.768500000000003
August,2011,4.8731
September,2011,0.0
October,2011,1.5
November,2011,4.5
December,2011,4.5
January,2012,0.0
February,2012,1.7264
March,2012,0.0
April,2012,0.0
May,2012,0.0
June,2012,1.5759999999999998
July,2012,3.556
August,2012,8.564
September,2012,8.685
October,2012,0.0
November,2012,3.59
December,2012,1.59
January,2013,0.0
February,2013,6.151
March,2013,2.039
April,2013,2.7510000000000003
May,2013,0.0
June,2013,0.0
July,2013,0.0
August,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,0.0
December,2013,0.0
January,2014,0.0
February,2014,0.0
March,2014,1.2009999999999998
April,2014,3.949
May,2014,1.05
June,2014,3.3400000000000003
July,2014,3.7439999999999998
August,2014,0.0
September,2014,3.412
October,2014,4.734999999999999
November,2014,2.534
December,2014,3.8120000000000003
