MonthName,Year,value_final
October,1998,9.0
November,1998,5.0
December,1998,36.0
January,1999,22.0
February,1999,13.0
March,1999,1.4
April,1999,11.0
May,1999,2.0
June,1999,10.0
July,1999,41.1
August,1999,53.4
September,1999,18.0
October,1999,16.0
November,1999,14.0
December,1999,7.0
January,2000,12.51
February,2000,15.12
March,2000,19.62
April,2000,2.0
May,2000,10.41
June,2000,15.0
July,2000,11.0
August,2000,96.4
September,2000,6.0
October,2000,14.0
November,2000,9.0
December,2000,16.0
January,2001,10.0
February,2001,6.0
March,2001,11.0
April,2001,16.0
May,2001,15.0
June,2001,22.9
July,2001,11.31
August,2001,7.63
September,2001,8.67
November,2001,3.91
March,2002,6.31
April,2002,5.09
June,2002,1.31
August,2002,5.29
September,2002,0.91
October,2002,86.07
December,2002,0.64
January,2003,2.17
February,2003,2.01
March,2003,0.37
April,2003,3.06
May,2003,0.56
June,2003,1.0270000000000001
July,2003,1.47
August,2003,37.126
September,2003,1.81
October,2003,0.987
November,2003,3.18
January,2004,3.15
February,2004,1.96
March,2004,1.89
April,2004,1.242
May,2004,1.9180000000000001
June,2004,1.371
July,2004,3.15
August,2004,6.32
September,2004,1.587
October,2004,0.541
November,2004,8.851
December,2004,0.602
January,2005,3.667
February,2005,1.3880000000000001
March,2005,3.3139999999999996
April,2005,2.298
May,2005,5.809
June,2005,5.176
July,2005,2.351
August,2005,3.005
September,2005,1.286
October,2005,0.812
November,2005,0.733
December,2005,6.325
January,2006,2.891
February,2006,0.205
March,2006,0.35600000000000004
April,2006,3.464
May,2006,1.74
June,2006,1.123
July,2006,0.05
August,2006,1.4680000000000002
September,2006,1.1740000000000002
October,2006,0.306
November,2006,0.748
December,2006,0.424
January,2007,0.821
February,2007,1.4809999999999999
March,2007,15.08
April,2007,0.8490000000000001
May,2007,1.844
June,2007,4.181
July,2007,2.8819999999999997
August,2007,0.809
September,2007,3.8
October,2007,9.804
November,2007,5.263
December,2007,4.728
February,2008,1.4
May,2008,7.0
June,2008,1.5
September,2008,5.2
October,2008,2.1
November,2008,2.8
December,2008,3.4000000000000004
April,2009,11.0
May,2009,5.2
June,2009,2.7
July,2009,40.0
August,2009,3.0
October,2009,1.6
November,2009,3.1
December,2009,1.9
January,2010,2.4
February,2010,3.0
March,2010,6.0
April,2010,4.4
May,2010,3.8
June,2010,3.9
July,2010,2.2
August,2010,2.3
September,2010,27.0
October,2010,23.0
November,2010,2.4
December,2010,11.0
January,2011,4.0
February,2011,2.7
March,2011,5.0
April,2011,4.4
May,2011,3.9
June,2011,2.9
August,2011,5.7
September,2011,3.5
November,2011,8.5
December,2011,2.5
February,2012,5.8
July,2014,1.3
September,2014,2.1
October,2014,2.5
November,2014,1.3
December,2014,1.8
