MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,37.0
May,1998,0.0
June,1998,47.0
July,1998,0.0
August,1998,47.4
September,1998,0.0
October,1998,17.0
November,1998,40.0
December,1998,23.0
January,1999,77.0
February,1999,47.0
March,1999,8.5
April,1999,19.0
May,1999,18.0
June,1999,16.0
July,1999,45.9
August,1999,35.8
September,1999,20.0
October,1999,40.0
November,1999,26.0
December,1999,23.0
January,2000,57.910000000000004
February,2000,63.230000000000004
March,2000,57.870000000000005
April,2000,6.0
May,2000,53.22
June,2000,21.0
July,2000,31.9
August,2000,128.9
September,2000,58.0
October,2000,36.0
November,2000,35.0
December,2000,51.0
January,2001,70.0
February,2001,34.0
March,2001,73.0
April,2001,18.0
May,2001,37.0
June,2001,45.9
July,2001,35.78
August,2001,43.54
September,2001,54.03
November,2001,17.55
February,2002,72.2
March,2002,102.63000000000001
April,2002,56.76
May,2002,21.87
June,2002,7.01
August,2002,34.46
September,2002,6.74
October,2002,72.19
November,2002,5.08
December,2002,9.45
January,2003,18.27
February,2003,14.590000000000002
March,2003,22.971
April,2003,13.41
May,2003,9.29
June,2003,12.0
July,2003,6.3
August,2003,76.522
September,2003,1.054
October,2003,5.497
November,2003,26.7
January,2004,31.699999999999996
February,2004,12.44
March,2004,24.349999999999994
April,2004,43.80400000000001
May,2004,50.165000000000006
June,2004,8.522
July,2004,7.308
August,2004,30.679999999999996
September,2004,6.4910000000000005
October,2004,6.7890000000000015
November,2004,14.448
December,2004,10.732000000000001
January,2005,24.919999999999998
February,2005,5.7219999999999995
March,2005,42.576999
April,2005,29.695999
May,2005,4.433999999999999
June,2005,8.258
July,2005,15.506
August,2005,8.294
September,2005,5.625
October,2005,6.6739999999999995
November,2005,9.107
December,2005,22.493000000000002
January,2006,24.765
February,2006,1.7530000000000001
March,2006,105.16199999999999
April,2006,17.340999999999998
June,2006,18.53
July,2006,7.249999999999999
August,2006,10.431999999999999
September,2006,6.6209999999999996
October,2006,2.405
November,2006,11.780999999999999
December,2006,4.0
January,2007,10.606
February,2007,7.225
March,2007,36.175
April,2007,14.963000000000001
May,2007,5.255
June,2007,6.749
July,2007,134.49399999999997
August,2007,9.091999999999999
September,2007,12.667
October,2007,32.741
November,2007,14.045000000000002
December,2007,14.222
January,2008,6.76
February,2008,4.4
April,2008,6.5
May,2008,15.2
June,2008,1.2
September,2008,26.8
October,2008,5.2
November,2008,4.1
April,2009,23.6
May,2009,17.1
June,2009,13.2
July,2009,15.0
August,2009,6.9
September,2009,12.3
October,2009,8.01
November,2009,10.399999999999999
December,2009,10.2
January,2010,10.5
February,2010,19.3
March,2010,21.1
April,2010,9.7
May,2010,12.1
June,2010,9.7
July,2010,15.8
August,2010,16.0
September,2010,26.8
October,2010,15.2
November,2010,10.5
December,2010,7.199999999999999
January,2011,6.5
February,2011,4.6
March,2011,5.699999999999999
April,2011,3.7
May,2011,3.4000000000000004
June,2011,4.800000000000001
July,2011,12.899999999999999
August,2011,9.9
September,2011,5.3
October,2011,7.8
November,2011,7.800000000000001
December,2011,6.4
January,2012,5.4
February,2012,4.6
October,2013,11.2
September,2014,8.6
October,2014,4.9
November,2014,5.3
