MonthName,Year,value_final
January,2009,19.0
March,2009,11.0
April,2009,13.0
May,2009,18.0
June,2009,19.0
July,2009,12.0
August,2009,12.0
September,2009,17.0
November,2009,12.0
December,2009,13.0
January,2010,16.0
February,2010,13.0
March,2010,11.0
April,2010,11.0
May,2010,12.0
June,2010,20.0
August,2010,14.0
September,2010,15.0
October,2010,13.0
November,2010,16.0
December,2010,10.0
January,2011,15.0
February,2011,14.0
March,2011,18.0
May,2011,20.0
June,2011,17.0
July,2011,16.0
August,2011,14.0
September,2011,22.0
October,2011,21.0
November,2011,23.0
December,2011,21.0
January,2012,22.0
February,2012,24.0
March,2012,28.0
April,2012,25.0
May,2012,22.0
June,2012,0.0
July,2012,20.0
August,2012,17.0
September,2012,29.0
October,2012,18.0
November,2012,15.0
December,2012,17.0
January,2013,2.39
February,2013,5.4
March,2013,5.85
April,2013,4.9
May,2013,0.0
June,2013,8.5
July,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,1.44
December,2013,0.0
June,2014,0.0
July,2014,0.0
August,2014,1.37
September,2014,1.04
October,2014,0.0
November,2014,0.0
December,2014,0.0
February,2015,0.0
March,2015,3.16
May,2015,0.0
August,2015,0.0
September,2015,0.0
