MonthName,Year,value_final
January,1998,30.0
February,1998,18.0
March,1998,30.0
April,1998,33.0
May,1998,60.0
June,1998,30.0
July,1998,90.0
August,1998,67.2
September,1998,90.0
October,1998,31.0
November,1998,40.0
December,1998,40.0
January,1999,69.0
February,1999,54.0
March,1999,15.200000000000001
April,1999,24.0
May,1999,13.0
June,1999,21.0
July,1999,49.0
August,1999,42.0
September,1999,31.0
October,1999,43.0
November,1999,27.0
December,1999,33.0
January,2000,43.800000000000004
February,2000,94.42999999999999
March,2000,87.13000000000001
April,2000,4.0
May,2000,100.74000000000001
June,2000,15.0
July,2000,38.6
August,2000,81.0
September,2000,8.0
October,2000,61.0
November,2000,57.0
December,2000,55.0
January,2001,70.0
February,2001,149.0
March,2001,74.0
April,2001,50.0
May,2001,30.0
June,2001,40.3
July,2001,21.85
August,2001,61.39
September,2001,32.49
November,2001,28.869999999999997
December,2001,27.630000000000003
March,2002,142.12
April,2002,36.44
June,2002,8.92
August,2002,21.240000000000002
September,2002,2.48
October,2002,62.62
November,2002,13.149999999999999
December,2002,14.16
January,2003,22.980000000000004
February,2003,11.14
March,2003,15.81
April,2003,3.62
May,2003,10.99
June,2003,19.715
July,2003,5.93
August,2003,101.196
September,2003,1.64
October,2003,1.908
November,2003,7.43
February,2004,9.72
April,2004,3.7780000000000005
May,2004,8.586
June,2004,6.158999999999999
July,2004,9.190000000000001
August,2004,5.08
September,2004,3.4290000000000003
October,2004,4.1690000000000005
November,2004,6.958
December,2004,5.4559999999999995
January,2005,35.385000000000005
February,2005,38.126
March,2005,4.163
April,2005,4.36
May,2005,9.624
June,2005,10.020999999999999
July,2005,3.2799999999999994
August,2005,6.8180000000000005
September,2005,1.864
October,2005,1.677
November,2005,5.1259999999999994
December,2005,14.713000000000001
January,2006,34.83
February,2006,2.0389999999999997
March,2006,2.909
April,2006,8.885
May,2006,4.434
June,2006,7.7540000000000004
July,2006,5.277
August,2006,1.506
September,2006,2.367
October,2006,0.9359999999999999
November,2006,7.458
December,2006,3.287
January,2007,2.175
February,2007,3.498
March,2007,27.656999999999996
April,2007,8.359
May,2007,2.435
June,2007,4.725
July,2007,6.186
August,2007,2.4210000000000003
September,2007,6.3580000000000005
October,2007,13.862
November,2007,3.885
December,2007,8.148
January,2008,7.6
April,2008,7.200000000000001
June,2008,4.5
September,2008,14.899999999999999
October,2008,6.699999999999999
November,2008,7.699999999999999
December,2008,5.0
April,2009,26.9
May,2009,12.9
June,2009,13.5
July,2009,14.600000000000001
August,2009,16.0
September,2009,13.8
October,2009,7.699999999999999
November,2009,7.699999999999999
December,2009,7.3
January,2010,16.3
February,2010,9.7
March,2010,11.1
April,2010,7.8999999999999995
May,2010,18.0
June,2010,9.2
July,2010,6.3
August,2010,7.8
September,2010,7.699999999999999
October,2010,6.1
November,2010,11.2
December,2010,11.399999999999999
January,2011,11.399999999999999
February,2011,17.7
March,2011,13.3
April,2011,5.0
May,2011,4.8
June,2011,6.300000000000001
July,2011,6.199999999999999
August,2011,5.8
September,2011,6.8999999999999995
October,2011,8.1
November,2011,7.5
December,2011,8.0
January,2012,5.0
February,2012,5.3
June,2012,5.8999999999999995
January,2014,6.9
June,2014,7.9
September,2014,3.2509999999999994
October,2014,1.39
November,2014,2.45
December,2014,0.0
January,2015,5.946000000000001
February,2015,0.0
March,2015,12.335
April,2015,4.359999999999999
May,2015,7.0
June,2015,0.0
July,2015,11.735
August,2015,0.0
September,2015,10.55
October,2015,6.109999999999999
November,2015,0.0
December,2015,7.601
January,2016,3.92
February,2016,5.0200000000000005
March,2016,4.14
April,2016,2.0999999999999996
May,2016,3.66
June,2016,5.04
July,2016,12.27
August,2016,3.09
September,2016,13.649999999999999
October,2016,6.67
November,2016,15.69
December,2016,4.11
