MonthName,Year,value_final
April,1998,4.0
June,1998,12.0
August,1998,13.0
October,1998,0.0
November,1998,27.0
December,1998,39.0
January,1999,46.0
February,1999,37.0
March,1999,8.6
April,1999,10.0
May,1999,3.0
June,1999,15.0
July,1999,41.8
August,1999,44.9
September,1999,15.0
October,1999,20.0
November,1999,20.0
December,1999,25.0
January,2000,20.14
February,2000,27.55
March,2000,32.15
April,2000,3.0
May,2000,24.81
June,2000,15.0
July,2000,18.6
August,2000,79.8
September,2000,2.0
October,2000,18.0
November,2000,20.0
December,2000,9.0
January,2001,9.0
February,2001,18.0
March,2001,60.0
April,2001,30.0
May,2001,41.0
June,2001,14.3
July,2001,23.14
August,2001,28.8
October,2001,8.56
November,2001,15.66
December,2001,26.38
March,2002,11.74
April,2002,15.32
May,2002,4.58
June,2002,3.66
August,2002,12.01
September,2002,0.11
October,2002,101.16999999999999
November,2002,1.78
December,2002,3.8
January,2003,3.09
February,2003,1.44
March,2003,3.53
April,2003,3.08
May,2003,1.43
June,2003,3.13
July,2003,0.525
August,2003,163.17000000000002
September,2003,1.054
November,2003,3.22
December,2003,0.975
February,2004,2.123
March,2004,4.95
April,2004,0.59
May,2004,10.743
June,2004,2.069
July,2004,11.29
August,2004,1.3719999999999999
September,2004,3.542
October,2004,2.544
November,2004,2.2319999999999998
December,2004,0.963
January,2005,4.96
February,2005,1.389
March,2005,8.34
April,2005,22.139999
May,2005,0.5529999999999999
June,2005,4.292
July,2005,17.0
August,2005,1.95
October,2005,2.491
November,2005,2.617
December,2005,2.847
January,2006,6.2010000000000005
February,2006,0.26
March,2006,11.44
April,2006,0.374
May,2006,0.8440000000000001
June,2006,1.295
July,2006,5.443
August,2006,4.466
September,2006,3.4019999999999997
October,2006,0.402
November,2006,3.8489999999999998
December,2006,2.383
January,2007,1.979
February,2007,10.11
March,2007,2.985
April,2007,1.786
May,2007,4.567
June,2007,9.306000000000001
July,2007,17.16
August,2007,2.342
September,2007,4.605
October,2007,18.2
December,2007,25.67
January,2010,4.3
February,2010,4.2
March,2010,7.8
April,2010,9.1
May,2010,4.3
June,2010,6.5
July,2010,3.9
August,2010,3.9
September,2010,5.8
October,2010,5.2
November,2010,4.2
December,2010,3.7
January,2011,8.59
February,2011,4.293
March,2011,4.1
April,2011,10.2
May,2011,3.8
June,2011,3.9
July,2011,2.5
August,2011,2.87
September,2011,3.4
October,2011,3.2
November,2011,4.6
December,2011,4.0
January,2012,3.9
February,2012,18.0
March,2012,19.8
April,2012,15.1
May,2012,12.9
June,2012,17.3
July,2012,13.5
August,2012,18.0
October,2012,17.0
November,2012,7.7
December,2012,1.5
January,2013,2.2
February,2013,9.3
March,2013,2.91
April,2013,2.4
May,2013,2.1
June,2013,3.6
July,2013,7.5
August,2013,1.6
September,2013,1.0
October,2013,0.0
November,2013,0.0
December,2013,2.8
January,2014,1.1
February,2014,2.1
March,2014,1.5
April,2014,0.0
May,2014,2.1
June,2014,2.6
July,2014,1.6
August,2014,1.6
September,2014,2.0
October,2014,1.0
November,2014,2.5
December,2014,1.4
