MonthName,Year,value_final
April,1998,147.0
June,1998,10.0
August,1998,23.9
October,1998,19.0
November,1998,37.9
December,1998,21.0
January,1999,31.0
February,1999,47.0
March,1999,9.399999999999999
April,1999,43.0
May,1999,63.0
June,1999,19.0
July,1999,97.32000000000001
August,1999,47.3
September,1999,29.0
October,1999,42.0
November,1999,19.0
December,1999,27.0
January,2000,50.82
February,2000,92.69999999999999
March,2000,91.02
April,2000,3.0
May,2000,81.62
June,2000,16.0
July,2000,26.0
August,2000,69.2
September,2000,45.0
October,2000,54.0
November,2000,49.0
December,2000,42.0
January,2001,118.0
February,2001,80.0
March,2001,72.0
April,2001,39.0
May,2001,35.0
June,2001,43.8
July,2001,12.690000000000001
August,2001,54.54
September,2001,28.020000000000003
November,2001,21.91
December,2001,24.04
March,2002,41.45
April,2002,35.78
June,2002,7.9
August,2002,14.91
September,2002,2.8899999999999997
October,2002,70.77000000000001
November,2002,9.84
December,2002,6.08
January,2003,5.95
February,2003,5.0
March,2003,6.45
April,2003,5.96
May,2003,3.79
June,2003,4.331
July,2003,4.6
August,2003,52.769
September,2003,1.9
October,2003,4.273
November,2003,2.8200000000000003
January,2004,40.89
February,2004,8.790000000000001
March,2004,7.09
April,2004,3.835
May,2004,7.607000000000001
June,2004,16.655
July,2004,11.64
August,2004,5.58
September,2004,3.3200000000000003
October,2004,13.209
November,2004,4.5809999999999995
December,2004,3.195
January,2005,7.994999999999999
February,2005,7.702
March,2005,8.037
April,2005,12.718
May,2005,3.194
June,2005,5.487
July,2005,3.151
August,2005,3.404
September,2005,3.7699999999999996
October,2005,2.123
November,2005,13.206999999999999
December,2005,17.063
January,2006,8.396
February,2006,16.352
March,2006,4.597
April,2006,9.495000000000001
May,2006,3.21
June,2006,13.22
July,2006,5.005999999999999
August,2006,0.5730000000000001
September,2006,3.2760000000000002
October,2006,2.5140000000000002
November,2006,9.025
December,2006,2.2039999999999997
January,2007,3.341
February,2007,4.205
March,2007,18.948
April,2007,7.971
May,2007,5.202
June,2007,9.739
July,2007,4.5760000000000005
August,2007,2.9749999999999996
September,2007,5.276999999999999
October,2007,19.442
November,2007,4.917
December,2007,16.458
January,2008,7.1000000000000005
February,2008,3.2
April,2008,7.9
June,2008,0.97
September,2008,29.0
October,2008,7.4
November,2008,10.5
December,2008,4.5
April,2009,32.7
May,2009,11.399999999999999
June,2009,17.4
July,2009,11.1
August,2009,11.100000000000001
September,2009,11.6
October,2009,11.3
November,2009,7.6
December,2009,7.0
January,2010,12.2
February,2010,11.6
March,2010,19.9
April,2010,6.1
May,2010,13.0
June,2010,13.100000000000001
July,2010,14.3
August,2010,14.7
September,2010,12.3
October,2010,10.1
November,2010,8.3
December,2010,8.3
January,2011,8.3
February,2011,6.9
March,2011,8.0
April,2011,12.2
May,2011,14.799999999999999
June,2011,11.7
July,2011,7.1
August,2011,7.6
September,2011,8.4
October,2011,12.9
November,2011,6.6
December,2011,7.800000000000001
January,2012,8.5
February,2012,4.5
August,2014,4.331
September,2014,5.37
October,2014,0.0
November,2014,1.01
December,2014,0.0
January,2015,1.1079999999999999
February,2015,1.07
March,2015,15.15
April,2015,5.16
May,2015,6.029999999999999
June,2015,6.427
July,2015,0.0
August,2015,0.0
September,2015,6.326
October,2015,5.81
November,2015,0.0
December,2015,6.43
January,2016,4.73
February,2016,4.485
March,2016,5.24
April,2016,1.75
May,2016,6.51
June,2016,6.1499999999999995
July,2016,1.92
August,2016,8.129999999999999
September,2016,3.6399999999999997
October,2016,2.83
November,2016,9.32
December,2016,4.0200000000000005
