MonthName,Year,value_final
April,1998,42.0
June,1998,21.0
August,1998,10.0
October,1998,11.0
November,1998,7.0
December,1998,37.0
January,1999,13.0
February,1999,18.0
March,1999,1.6
April,1999,13.0
May,1999,4.0
June,1999,12.0
July,1999,38.5
August,1999,38.9
September,1999,12.0
October,1999,31.0
November,1999,20.0
December,1999,10.0
January,2000,21.67
February,2000,24.6
March,2000,25.16
April,2000,3.0
May,2000,38.0
June,2000,5.0
July,2000,9.2
August,2000,53.6
September,2000,6.0
October,2000,26.0
November,2000,15.0
December,2000,20.0
January,2001,11.0
February,2001,37.0
March,2001,21.0
April,2001,31.0
May,2001,12.0
June,2001,13.6
July,2001,5.5
August,2001,14.16
November,2001,6.51
March,2002,7.57
April,2002,7.61
June,2002,1.51
August,2002,8.83
September,2002,5.47
October,2002,91.32000000000001
December,2002,8.35
January,2003,1.64
February,2003,2.78
March,2003,0.94
April,2003,3.12
May,2003,1.82
June,2003,0.968
July,2003,9.56
August,2003,18.647
September,2003,3.18
October,2003,1.0290000000000001
November,2003,2.26
January,2004,1.83
February,2004,3.69
March,2004,2.64
April,2004,9.576
May,2004,1.189
June,2004,1.4569999999999999
July,2004,2.0269999999999997
August,2004,3.49
September,2004,1.801
October,2004,0.97
November,2004,1.584
December,2004,0.687
January,2005,4.337
February,2005,2.609
March,2005,12.95
April,2005,12.51
May,2005,1.195
June,2005,2.013
July,2005,3.823
August,2005,1.844
September,2005,1.7080000000000002
October,2005,3.4930000000000003
November,2005,0.7
December,2005,4.728
January,2006,2.02
February,2006,0.214
March,2006,1.9580000000000002
April,2006,12.44
May,2006,4.53
June,2006,9.574
July,2006,0.413
August,2006,0.16399999999999998
September,2006,1.5219999999999998
October,2006,0.15
November,2006,0.364
December,2006,0.541
January,2007,0.935
February,2007,1.885
March,2007,5.3629999999999995
April,2007,1.883
May,2007,2.449
June,2007,6.475
July,2007,18.87
August,2007,0.778
September,2007,1.631
October,2007,9.21
November,2007,3.533
December,2007,3.0980000000000003
February,2008,1.4
May,2008,5.88
June,2008,5.8
September,2008,8.4
October,2008,5.2
November,2008,6.9
December,2008,3.4
April,2009,30.0
May,2009,5.0
June,2009,5.5
July,2009,45.0
August,2009,3.6
September,2009,4.1
October,2009,6.1
November,2009,3.1
December,2009,2.9
January,2010,4.7
February,2010,4.2
March,2010,7.1
April,2010,11.0
May,2010,4.9
June,2010,2.9
July,2010,5.5
August,2010,5.5
September,2010,25.0
October,2010,16.0
November,2010,2.7
December,2010,5.0
January,2011,6.2
February,2011,2.2
March,2011,5.9
April,2011,3.5
May,2011,3.5
June,2011,3.2
August,2011,7.5
September,2011,3.7
November,2011,9.1
December,2011,3.8
February,2012,5.6
July,2014,1.9
September,2014,2.9
October,2014,3.4
November,2014,3.5
December,2014,3.1
