MonthName,Year,value_final
January,2009,2.4
February,2009,8.4
March,2009,14.9
April,2009,5.3
June,2009,2.9
July,2009,9.9
October,2009,2.8
November,2009,6.1
January,2010,2.7
February,2010,2.9
March,2010,4.5
April,2010,4.2
May,2010,56.0
June,2010,5.4
July,2010,3.7
August,2010,3.5
September,2010,4.1
October,2010,12.4
November,2010,3.1
December,2010,4.2
January,2011,2.6
February,2011,2.4
March,2011,3.9000000000000004
April,2011,7.3
May,2011,7.7
June,2011,5.699999999999999
July,2011,3.8
August,2011,2.0
September,2011,13.1
October,2011,6.5
November,2011,1.7
December,2011,2.4
January,2012,5.0
February,2012,2.9
March,2012,1.8
April,2012,2.6
May,2012,3.2
June,2012,6.7
July,2012,2.7
August,2012,1.4
September,2012,1.5
October,2012,3.1
November,2012,1.6
December,2012,3.1
January,2013,8.8
February,2013,1.6
March,2013,1.1
April,2013,1.9
May,2013,1.6
June,2013,1.4
July,2013,0.0
August,2013,1.0
September,2013,1.9
October,2013,12.6
November,2013,1.5
December,2013,1.4
