MonthName,Year,value_final
January,1998,22.0
February,1998,5.0
March,1998,9.0
April,1998,47.0
May,1998,13.0
June,1998,23.0
July,1998,17.0
August,1998,75.0
September,1998,11.0
October,1998,19.0
November,1998,23.0
December,1998,14.0
January,1999,23.0
February,1999,67.0
March,1999,108.0
April,1999,53.0
May,1999,63.0
June,1999,37.0
July,1999,32.0
August,1999,14.0
September,1999,10.0
October,1999,31.0
November,1999,46.0
December,1999,48.0
January,2000,45.58
February,2000,73.27
March,2000,92.6
April,2000,7.0
May,2000,155.78
June,2000,23.0
July,2000,114.0
August,2000,15.0
September,2000,47.0
October,2000,74.0
November,2000,67.0
December,2000,28.0
April,2001,54.0
May,2001,45.0
June,2001,47.0
July,2001,73.3
August,2001,60.54
September,2001,64.3
October,2001,47.36
November,2001,29.78
December,2001,36.05
March,2002,163.31
April,2002,115.48
May,2002,177.98999999999998
June,2002,23.96
August,2002,38.3
September,2002,79.77000000000001
October,2002,95.43
November,2002,62.56
December,2002,12.86
January,2003,36.0
February,2003,23.61
March,2003,30.73
April,2003,67.85
June,2003,105.47999999999999
July,2003,34.531
August,2003,23.073999999999998
October,2003,33.74
November,2003,23.0
December,2003,32.5
February,2004,237.89
March,2004,60.0
April,2004,29.157999999999998
May,2004,14.947
June,2004,65.82799999999999
July,2004,32.294
August,2004,64.47999999999999
September,2004,44.467999999999996
October,2004,37.615
November,2004,119.19299999999998
December,2004,31.55
January,2005,84.53199999999998
February,2005,56.933
March,2005,34.150000000000006
April,2005,41.294000000000004
May,2005,18.875
June,2005,17.602
July,2005,15.765
August,2005,29.095000000000002
September,2005,40.732001
October,2005,64.68299999999999
November,2005,20.417
December,2005,18.947000000000003
January,2006,72.787
February,2006,49.401999999999994
March,2006,36.94
April,2006,65.20100000000001
May,2006,41.33200000000001
June,2006,54.465
July,2006,21.031
August,2006,20.259
September,2006,24.781
October,2006,29.194
November,2006,17.727
December,2006,35.944
January,2007,29.249
February,2007,56.010000000000005
March,2007,39.30800000000001
April,2007,38.925000000000004
May,2007,56.592
June,2007,66.92699999999999
July,2007,88.96
August,2007,22.414
September,2007,11.127
October,2007,10.87
November,2007,9.853
December,2007,31.93
April,2010,16.7
May,2010,13.5
June,2010,11.1
July,2010,9.34
August,2010,45.695499999999996
September,2010,87.76050000000001
October,2010,64.733
November,2010,7.203
December,2010,21.408
January,2011,115.6036
February,2011,31.8367
March,2011,22.3455
April,2011,19.3
May,2011,8.76
June,2011,48.5632
July,2011,13.9894
August,2011,13.1274
September,2011,5.221
October,2011,5.171
November,2011,15.983999999999998
December,2011,27.726
January,2012,3.573
February,2012,2.5298
March,2012,2.5827
April,2012,5.044
May,2012,5.997999999999999
June,2012,1.89
July,2012,13.009
August,2012,24.605
September,2012,9.588
October,2012,8.515
November,2012,7.134
December,2012,2.6860000000000004
January,2013,12.93
February,2013,16.299999999999997
March,2013,8.892
April,2013,17.4146
May,2013,11.598099999999999
June,2013,8.780000000000001
July,2013,14.475000000000001
August,2013,12.097
September,2013,11.850999999999999
October,2013,7.885
November,2013,4.095
December,2013,9.096
January,2014,9.129999999999999
February,2014,7.229
March,2014,4.127
April,2014,12.024000000000001
May,2014,2.102
June,2014,8.806
July,2014,10.366999999999999
August,2014,8.04
September,2014,8.221
October,2014,11.511
November,2014,9.171
December,2014,10.548
