MonthName,Year,value_final
October,1998,19.0
November,1998,33.0
December,1998,21.0
January,1999,23.0
February,1999,19.0
March,1999,11.0
April,1999,29.0
May,1999,15.0
June,1999,18.0
July,1999,58.3
August,1999,63.3
September,1999,20.0
October,1999,17.0
November,1999,43.0
December,1999,28.0
January,2000,13.68
February,2000,30.17
March,2000,24.47
April,2000,3.0
May,2000,23.5
June,2000,11.0
July,2000,108.0
August,2000,57.8
September,2000,24.0
October,2000,44.0
November,2000,18.0
December,2000,13.0
January,2001,21.0
February,2001,17.0
March,2001,17.0
April,2001,23.0
May,2001,13.0
June,2001,8.7
July,2001,35.32
August,2001,21.59
September,2001,16.1
November,2001,27.72
March,2002,43.71
April,2002,43.71
June,2002,7.87
August,2002,17.3
September,2002,8.71
October,2002,72.81
December,2002,4.69
January,2003,10.98
February,2003,5.92
March,2003,7.81
April,2003,13.48
May,2003,11.58
June,2003,8.7
July,2003,3.64
August,2003,66.77
September,2003,7.02
October,2003,6.59
November,2003,2.47
January,2004,23.4
February,2004,14.3
March,2004,41.1
April,2004,15.81
May,2004,11.89
June,2004,4.907
July,2004,5.365
August,2004,3.45
September,2004,10.96
October,2004,8.645
November,2004,9.847000000000001
December,2004,4.758
January,2005,14.63
February,2005,5.154
March,2005,19.43
April,2005,19.43
May,2005,12.38
June,2005,9.734
July,2005,12.652000000000001
August,2005,12.28
September,2005,3.02
October,2005,5.727
November,2005,3.4730000000000003
December,2005,0.769
January,2006,14.78
February,2006,5.031000000000001
March,2006,0.16699999999999998
April,2006,13.97
May,2006,11.52
June,2006,3.113
July,2006,0.05
August,2006,0.431
September,2006,15.26
October,2006,74.9
November,2006,6.371
December,2006,13.3
January,2007,19.44
February,2007,23.71
March,2007,10.53
April,2007,7.818
May,2007,5.27
June,2007,28.84
July,2007,20.35
August,2007,6.388999999999999
September,2007,11.325
October,2007,19.57
November,2007,8.905
December,2007,24.66
February,2008,10.2
May,2008,5.6
June,2008,12.0
September,2008,2.8
October,2008,2.5
November,2008,3.4
December,2008,3.2
April,2009,8.1
May,2009,5.8
June,2009,3.5
July,2009,21.0
August,2009,3.1
October,2009,2.2
November,2009,4.3
December,2009,2.9
January,2010,2.1
February,2010,9.1
March,2010,9.2
April,2010,5.8
May,2010,2.5
June,2010,3.0
July,2010,4.1
August,2010,4.7
September,2010,29.0
October,2010,17.0
November,2010,2.6
December,2010,7.0
January,2011,9.8
February,2011,8.2
March,2011,9.1
April,2011,19.0
May,2011,11.0
June,2011,5.9
August,2011,7.1
September,2011,5.3
November,2011,18.5
December,2011,4.1
February,2012,5.699999999999999
July,2014,2.6
September,2014,2.4
October,2014,1.6
November,2014,1.4
December,2014,1.6
