MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,145.0
May,1998,0.0
June,1998,31.0
July,1998,0.0
August,1998,41.9
September,1998,0.0
October,1998,100.0
November,1998,114.0
December,1998,90.0
January,1999,102.0
February,1999,66.0
March,1999,85.0
April,1999,59.0
May,1999,97.0
June,1999,51.0
July,1999,66.1
August,1999,87.7
September,1999,45.0
October,1999,55.0
November,1999,102.0
December,1999,87.0
January,2000,69.83
February,2000,112.43
March,2000,77.57
April,2000,9.0
May,2000,103.78999999999999
June,2000,43.0
July,2000,160.0
August,2000,160.5
September,2000,115.0
October,2000,50.0
November,2000,43.0
December,2000,51.0
January,2001,137.0
February,2001,62.0
March,2001,67.0
April,2001,40.0
May,2001,75.0
June,2001,45.6
July,2001,112.34
August,2001,55.2
September,2001,75.69999999999999
November,2001,117.43999999999998
February,2002,179.26
March,2002,332.02
April,2002,305.84
May,2002,288.90999999999997
June,2002,85.62
August,2002,69.6
September,2002,80.0
October,2002,122.23
November,2002,9.81
December,2002,98.38
January,2003,34.16
February,2003,47.800000000000004
March,2003,87.2
April,2003,81.85000000000001
May,2003,69.34
June,2003,52.95
July,2003,8.14
August,2003,143.70000000000002
September,2003,4.9
October,2003,51.63999999999999
November,2003,7.41
January,2004,96.78
February,2004,38.41
March,2004,126.48
April,2004,66.91000000000001
May,2004,42.293
June,2004,34.646
July,2004,48.967999999999996
August,2004,23.8
September,2004,42.79
October,2004,37.065
November,2004,58.676
December,2004,66.046
January,2005,68.083
February,2005,23.862
March,2005,107.891002
April,2005,428.724005
May,2005,25.491
June,2005,45.31999999999999
July,2005,39.794000000000004
August,2005,35.414
September,2005,40.126
October,2005,70.38699899999999
November,2005,28.087
December,2005,362.55099699999994
January,2006,63.588
February,2006,43.79
March,2006,5.887
April,2006,60.146
June,2006,42.916
July,2006,31.863
August,2006,51.593
September,2006,45.726
October,2006,121.382
November,2006,56.19800000000001
December,2006,77.229
January,2007,42.515
February,2007,65.18799999999999
March,2007,198.739
April,2007,67.984
May,2007,19.065
June,2007,42.650999999999996
July,2007,135.67000000000002
August,2007,45.851
September,2007,52.023
October,2007,107.48
November,2007,32.186
December,2007,54.099
January,2008,17.8
February,2008,8.0
April,2008,13.5
May,2008,121.0
June,2008,2.4
September,2008,22.8
October,2008,5.2
November,2008,5.3
April,2009,12.2
May,2009,16.1
June,2009,24.7
July,2009,10.7
August,2009,10.5
September,2009,8.5
October,2009,15.5
November,2009,9.43
December,2009,11.3
January,2010,13.3
February,2010,15.0
March,2010,19.7
April,2010,10.7
May,2010,7.7
June,2010,7.9
July,2010,11.799999999999999
August,2010,15.8
September,2010,14.1
October,2010,13.5
November,2010,10.3
December,2010,8.1
January,2011,6.8999999999999995
February,2011,6.0
March,2011,7.9
April,2011,8.1
May,2011,9.8
June,2011,14.0
July,2011,14.8
August,2011,14.4
September,2011,8.3
October,2011,12.8
November,2011,10.8
December,2011,11.0
January,2012,7.699999999999999
February,2012,8.1
October,2013,9.4
September,2014,7.6
October,2014,9.0
November,2014,5.3
