MonthName,Year,value_final
January,2009,10.0
February,2009,0.3
March,2009,65.0
September,2009,0.5
January,2010,5.24
February,2010,17.81
March,2010,12.03
April,2010,5.73
May,2010,6.37
June,2010,7.19
August,2010,6.9
September,2010,6.96
January,2011,3.06
February,2011,7.04
April,2011,3.91
May,2011,4.84
June,2011,5.0
January,2012,0.0
February,2012,0.0
March,2012,62.2
April,2012,48.0
May,2012,0.0
June,2012,0.0
July,2012,0.0
August,2012,0.0
September,2012,0.0
October,2012,19.23
November,2012,0.0
December,2012,9.49
January,2013,7.27
February,2013,11.57
March,2013,23.89
April,2013,7.1
May,2013,2.35
June,2013,4.19
July,2013,3.15
September,2013,5.07
October,2013,1.12
November,2013,2.35
December,2013,11.84
June,2014,1.27
July,2014,2.22
August,2014,2.08
September,2014,1.92
October,2014,3.44
November,2014,4.3
December,2014,4.63
February,2015,12.63
March,2015,15.31
May,2015,2.83
August,2015,2.15
September,2015,3.41
