MonthName,Year,value_final
January,1998,30.0
February,1998,0.0
March,1998,0.0
April,1998,130.0
May,1998,30.0
June,1998,34.0
July,1998,30.0
August,1998,65.2
September,1998,30.0
October,1998,72.0
November,1998,60.0
December,1998,78.0
January,1999,107.0
February,1999,74.0
March,1999,49.0
April,1999,66.0
May,1999,80.0
June,1999,42.0
July,1999,73.4
August,1999,82.1
September,1999,43.0
October,1999,64.0
November,1999,90.0
December,1999,112.0
January,2000,52.17
February,2000,124.71000000000001
March,2000,107.14999999999999
April,2000,17.0
May,2000,108.85
June,2000,62.0
July,2000,87.0
August,2000,101.1
September,2000,25.0
October,2000,124.0
November,2000,56.0
December,2000,129.0
January,2001,89.0
February,2001,55.0
March,2001,122.0
April,2001,58.0
May,2001,41.0
June,2001,30.4
July,2001,152.51000000000002
August,2001,67.55000000000001
September,2001,60.9
November,2001,70.64
December,2001,102.22999999999999
March,2002,165.95999999999998
April,2002,166.56
June,2002,47.84
August,2002,91.9
September,2002,31.35
October,2002,101.72000000000001
November,2002,7.2
December,2002,27.05
January,2003,22.79
February,2003,19.46
March,2003,3.78
April,2003,28.32
May,2003,32.17
June,2003,31.18
July,2003,16.04
August,2003,386.39
September,2003,6.38
October,2003,24.08
November,2003,27.049999999999997
February,2004,31.18
April,2004,36.53
May,2004,29.442999999999998
June,2004,16.039
July,2004,25.604999999999997
August,2004,18.96
September,2004,18.08
October,2004,13.817
November,2004,24.026
December,2004,22.321
January,2005,62.839998
February,2005,42.62
March,2005,29.354
April,2005,13.863999999999999
May,2005,21.744
June,2005,7.883000000000001
July,2005,20.807000000000002
August,2005,14.383
September,2005,20.785
October,2005,19.635
November,2005,17.768
December,2005,63.790001000000004
January,2006,57.012
February,2006,24.541
March,2006,18.751
April,2006,22.315
May,2006,16.319
June,2006,56.188
July,2006,26.624
August,2006,18.639
September,2006,17.892
October,2006,31.823
November,2006,24.163
December,2006,15.59
January,2007,20.419
February,2007,71.369
March,2007,26.878999999999998
April,2007,34.748000000000005
May,2007,20.21
June,2007,51.977999999999994
July,2007,56.46000000000001
August,2007,13.824000000000002
September,2007,36.163
October,2007,45.059
November,2007,17.53
December,2007,59.08
January,2008,56.8
April,2008,11.5
June,2008,8.8
September,2008,55.0
October,2008,4.5
November,2008,10.3
December,2008,6.2
April,2009,12.0
May,2009,20.1
June,2009,14.5
July,2009,15.600000000000001
August,2009,14.600000000000001
September,2009,21.1
October,2009,11.9
November,2009,15.4
December,2009,11.4
January,2010,12.2
February,2010,16.1
March,2010,16.1
April,2010,6.9
May,2010,7.1
June,2010,9.6
July,2010,10.600000000000001
August,2010,10.2
September,2010,13.2
October,2010,8.9
November,2010,10.0
December,2010,8.1
January,2011,11.8
February,2011,36.6
March,2011,11.8
April,2011,20.9
May,2011,18.0
June,2011,16.4
July,2011,8.2
August,2011,6.699999999999999
September,2011,13.0
October,2011,7.4
November,2011,10.3
December,2011,7.3
January,2012,9.7
February,2012,8.2
June,2012,17.4
January,2014,6.1
June,2014,7.1
September,2014,144.479
October,2014,87.57000000000001
November,2014,22.189999999999998
December,2014,43.21
January,2015,67.03
February,2015,71.8
March,2015,21.43
April,2015,22.659999999999997
May,2015,19.72
June,2015,15.245000000000001
July,2015,27.15
August,2015,17.689999999999998
September,2015,28.299999999999997
October,2015,24.25
November,2015,40.56
December,2015,23.86
January,2016,14.44
February,2016,37.72
March,2016,28.479999999999997
April,2016,18.43
May,2016,42.11
June,2016,28.800000000000004
July,2016,32.39
August,2016,17.94
September,2016,21.759999999999998
October,2016,21.6
November,2016,33.53
December,2016,19.8
