MonthName,Year,value_final
April,1998,24.0
June,1998,12.0
August,1998,108.0
October,1998,0.0
November,1998,29.0
December,1998,35.0
January,1999,55.0
February,1999,32.0
March,1999,18.0
April,1999,12.0
May,1999,14.0
June,1999,29.0
July,1999,63.9
August,1999,62.9
September,1999,23.0
October,1999,8.0
November,1999,34.0
December,1999,37.0
January,2000,17.7
February,2000,31.63
March,2000,23.86
April,2000,2.0
May,2000,71.22
June,2000,40.0
July,2000,49.85
August,2000,50.0
September,2000,14.0
October,2000,16.0
November,2000,13.0
December,2000,12.0
January,2001,6.0
February,2001,26.0
March,2001,25.0
April,2001,14.0
May,2001,16.0
June,2001,18.3
July,2001,35.48
August,2001,37.52
October,2001,20.54
November,2001,16.81
December,2001,15.03
March,2002,17.97
April,2002,10.24
May,2002,10.24
June,2002,16.93
August,2002,31.6
September,2002,36.3
October,2002,102.67
November,2002,2.95
December,2002,10.83
January,2003,4.48
February,2003,6.35
March,2003,12.45
April,2003,9.79
May,2003,21.56
June,2003,11.35
July,2003,9.997
August,2003,1128.614
September,2003,4.9
November,2003,7.98
December,2003,14.64
February,2004,23.34
March,2004,16.26
April,2004,15.77
May,2004,1.911
June,2004,11.3
July,2004,12.792
August,2004,2.47
September,2004,17.86
October,2004,4.087
November,2004,10.88
December,2004,1.8459999999999999
January,2005,3.035
February,2005,16.120001000000002
March,2005,8.732000000000001
April,2005,6.501
May,2005,1.8869999999999998
June,2005,1.8840000000000001
July,2005,2.205
August,2005,1.964
October,2005,20.17
November,2005,8.356
December,2005,5.473
January,2006,3.02
February,2006,4.8919999999999995
March,2006,0.41
April,2006,2.875
May,2006,4.735
June,2006,7.937
July,2006,2.423
August,2006,7.754
September,2006,1.93
October,2006,21.16
November,2006,10.56
December,2006,12.06
January,2007,4.249
February,2007,1.839
March,2007,3.2
April,2007,4.883
May,2007,3.193
June,2007,27.78
July,2007,4.104
August,2007,15.72
September,2007,35.105
October,2007,27.83
December,2007,21.24
January,2010,2.0
February,2010,6.5
March,2010,19.1
April,2010,17.2
May,2010,10.0
June,2010,14.8
July,2010,6.2
August,2010,12.5
September,2010,12.6
October,2010,15.8
November,2010,8.8
December,2010,7.3
January,2011,32.47
February,2011,138.07
March,2011,10.4
April,2011,47.0
May,2011,5.4
June,2011,6.5
July,2011,15.4
August,2011,17.8
September,2011,21.2
October,2011,18.6
November,2011,22.4
December,2011,17.6
January,2012,11.8
February,2012,32.8
March,2012,22.0
April,2012,17.8
May,2012,32.0
June,2012,16.7
July,2012,14.3
August,2012,10.0
October,2012,14.0
November,2012,8.6
December,2012,2.8
January,2013,4.3
February,2013,5.5
March,2013,2.4
April,2013,4.9
May,2013,2.9
June,2013,4.1
July,2013,6.0
August,2013,2.6
September,2013,2.5
October,2013,1.5
November,2013,1.4
December,2013,2.0
January,2014,1.9
February,2014,2.5
March,2014,2.9
April,2014,2.2
May,2014,6.0
June,2014,6.1
July,2014,5.9
August,2014,1.3
September,2014,4.4
October,2014,2.0
November,2014,2.8
December,2014,1.5
