MonthName,Year,value_final
April,1998,29.0
June,1998,11.0
August,1998,53.7
October,1998,83.0
November,1998,67.0
December,1998,72.0
January,1999,133.0
February,1999,84.0
March,1999,41.0
April,1999,51.0
May,1999,108.71000000000001
June,1999,35.0
July,1999,159.07
August,1999,82.4
September,1999,51.0
October,1999,46.0
November,1999,111.0
December,1999,196.0
January,2000,193.3
February,2000,128.4
March,2000,109.14
April,2000,6.0
May,2000,152.38
June,2000,61.0
July,2000,94.0
August,2000,95.3
September,2000,48.0
October,2000,96.0
November,2000,57.0
December,2000,32.0
January,2001,78.0
February,2001,74.0
March,2001,85.0
April,2001,70.0
May,2001,36.0
June,2001,53.4
July,2001,122.39999999999999
August,2001,65.75
September,2001,56.61
November,2001,69.86
December,2001,57.15
March,2002,132.0
April,2002,137.5
June,2002,73.83
August,2002,15.799999999999999
September,2002,23.63
October,2002,86.85
November,2002,75.59
December,2002,32.68
January,2003,27.330000000000002
February,2003,26.009999999999998
March,2003,27.51
April,2003,21.64
May,2003,23.49
June,2003,25.85
July,2003,17.77
August,2003,139.09
September,2003,6.35
October,2003,29.939999999999998
November,2003,38.61
January,2004,40.4
February,2004,12.35
March,2004,90.96000000000001
April,2004,16.204
May,2004,22.308
June,2004,12.513
July,2004,29.362000000000002
August,2004,24.13
September,2004,26.830000000000002
October,2004,10.884
November,2004,18.832
December,2004,15.801
January,2005,34.18
February,2005,23.978
March,2005,21.532
April,2005,20.252000000000002
May,2005,17.286
June,2005,16.187
July,2005,17.874000000000002
August,2005,16.018
September,2005,15.112
October,2005,15.198
November,2005,63.134
December,2005,99.959998
January,2006,36.855000000000004
February,2006,24.126
March,2006,29.621000000000002
April,2006,67.16300000000001
May,2006,26.388
June,2006,28.717
July,2006,39.241
August,2006,15.774000000000001
September,2006,30.439
October,2006,32.332
November,2006,17.834
December,2006,17.841
January,2007,30.209
February,2007,68.38
March,2007,25.064
April,2007,28.666999999999994
May,2007,20.149
June,2007,25.330000000000002
July,2007,58.41
August,2007,16.994
September,2007,24.829
October,2007,54.84
November,2007,22.820999999999998
December,2007,13.989
January,2008,61.0
February,2008,20.200000000000003
April,2008,12.200000000000001
June,2008,5.2
September,2008,28.1
October,2008,7.4
November,2008,7.5
December,2008,4.6
April,2009,13.1
May,2009,18.8
June,2009,22.2
July,2009,16.5
August,2009,7.9
September,2009,25.9
October,2009,14.1
November,2009,18.200000000000003
December,2009,11.5
January,2010,10.3
February,2010,10.8
March,2010,11.4
April,2010,5.6
May,2010,17.700000000000003
June,2010,15.2
July,2010,9.8
August,2010,15.0
September,2010,9.1
October,2010,7.2
November,2010,7.9
December,2010,6.8
January,2011,7.699999999999999
February,2011,9.5
March,2011,8.0
April,2011,13.7
May,2011,14.5
June,2011,13.7
July,2011,11.6
August,2011,14.6
September,2011,15.1
October,2011,10.0
November,2011,7.1
December,2011,8.600000000000001
January,2012,8.3
February,2012,13.6
August,2014,62.412000000000006
September,2014,96.892
October,2014,105.39999999999999
November,2014,86.14
December,2014,84.81
January,2015,39.29
February,2015,39.96
March,2015,23.4
April,2015,21.32
May,2015,17.27
June,2015,14.29
July,2015,10.32
August,2015,22.07
September,2015,23.2
October,2015,37.9
November,2015,37.5
December,2015,25.27
January,2016,14.36
February,2016,12.110000000000001
March,2016,35.58
April,2016,16.58
May,2016,42.489999999999995
June,2016,18.45
July,2016,22.22
August,2016,40.650000000000006
September,2016,36.769999999999996
October,2016,26.72
November,2016,28.41
December,2016,21.51
