MonthName,Year,value_final
April,1998,12.0
June,1998,10.0
August,1998,1.0
October,1998,34.0
November,1998,33.0
December,1998,20.0
January,1999,19.0
February,1999,57.0
March,1999,11.0
April,1999,28.0
May,1999,18.0
June,1999,150.0
July,1999,149.6
August,1999,107.0
September,1999,20.0
October,1999,19.0
November,1999,71.0
December,1999,35.0
January,2000,25.76
February,2000,55.97
March,2000,33.26
April,2000,4.0
May,2000,66.31
June,2000,17.0
July,2000,89.0
August,2000,50.6
September,2000,31.0
October,2000,33.0
November,2000,25.0
December,2000,4.0
January,2001,15.0
February,2001,25.0
March,2001,13.0
April,2001,32.0
May,2001,16.0
June,2001,12.7
July,2001,76.7
August,2001,21.59
November,2001,25.11
March,2002,36.64
April,2002,36.64
June,2002,10.1
August,2002,37.3
September,2002,18.7
October,2002,81.06000000000002
December,2002,6.57
January,2003,10.7
February,2003,10.39
March,2003,6.46
April,2003,86.85
May,2003,13.24
June,2003,9.96
July,2003,4.4
August,2003,72.78
September,2003,7.89
October,2003,16.09
November,2003,2.67
February,2004,7.33
March,2004,15.94
April,2004,10.14
May,2004,16.16
June,2004,6.426
July,2004,8.095
August,2004,31.54
September,2004,13.19
October,2004,5.792000000000001
November,2004,11.09
December,2004,4.5280000000000005
January,2005,16.34
February,2005,9.66
March,2005,19.68
April,2005,177.300003
May,2005,9.769
June,2005,6.537999999999999
July,2005,9.113
August,2005,8.191
September,2005,8.436
October,2005,10.09
November,2005,6.142
December,2005,0.171
January,2006,14.2
February,2006,4.314
March,2006,1.994
April,2006,17.8
May,2006,29.53
June,2006,24.35
July,2006,5.006
August,2006,0.307
September,2006,9.782
October,2006,39.34
November,2006,9.491
December,2006,10.48
January,2007,5.93
February,2007,19.27
March,2007,4.922
April,2007,15.13
May,2007,3.802
June,2007,19.81
July,2007,13.91
August,2007,5.8389999999999995
September,2007,9.525
October,2007,19.7
November,2007,9.238
December,2007,11.07
February,2008,6.7
May,2008,6.4
June,2008,8.1
September,2008,3.5
October,2008,4.8
November,2008,6.9
December,2008,4.7
April,2009,15.0
May,2009,6.0
June,2009,8.2
July,2009,25.0
August,2009,5.0
September,2009,1.9
October,2009,5.1
November,2009,4.3
December,2009,5.1
January,2010,5.2
February,2010,7.6
March,2010,7.2
April,2010,6.0
May,2010,7.0
June,2010,5.2
July,2010,7.3
August,2010,8.0
September,2010,14.0
October,2010,11.0
November,2010,3.5
December,2010,5.9
January,2011,10.0
February,2011,49.0
March,2011,8.0
April,2011,40.0
May,2011,5.4
June,2011,6.1
August,2011,10.8
September,2011,7.0
November,2011,43.9
December,2011,4.9
February,2012,10.4
July,2014,2.6
September,2014,3.5
October,2014,2.9
November,2014,1.8
December,2014,2.6
February,2015,6.97
