MonthName,Year,value_final
January,2009,0.5
February,2009,1.7
March,2009,0.5
April,2009,0.5
June,2009,0.5
July,2009,1.6
October,2009,0.5
November,2009,0.5
January,2010,0.6
February,2010,0.5
March,2010,0.7
April,2010,0.5
May,2010,1.8
June,2010,1.0
July,2010,0.5
August,2010,1.4
September,2010,0.9
October,2010,1.3
November,2010,1.0
December,2010,1.3
January,2011,1.0
February,2011,2.0
March,2011,1.6
April,2011,1.7
May,2011,2.0
June,2011,1.3
July,2011,1.0
August,2011,1.0
September,2011,0.8
October,2011,2.7
November,2011,0.5
December,2011,2.5
January,2012,1.2
February,2012,0.5
March,2012,0.5
April,2012,1.2
May,2012,0.5
June,2012,1.6
July,2012,0.5
August,2012,0.5
September,2012,0.5
October,2012,0.5
November,2012,0.5
December,2012,2.4
January,2013,1.3
February,2013,0.5
March,2013,0.5
April,2013,0.5
May,2013,0.5
June,2013,0.5
July,2013,0.5
August,2013,1.1
September,2013,0.5
October,2013,7.8
November,2013,0.5
December,2013,0.5
February,2015,0.5
June,2015,2.5
August,2015,0.5
October,2015,0.5
January,2016,0.0
April,2016,0.0
August,2016,0.0
October,2016,0.0
