MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,55.0
May,1998,0.0
June,1998,5.0
July,1998,0.0
August,1998,7.0
September,1998,0.0
October,1998,17.0
November,1998,0.0
December,1998,0.0
January,1999,3.0
February,1999,102.0
March,1999,22.0
April,1999,25.0
May,1999,47.0
June,1999,36.0
July,1999,69.0
August,1999,67.0
September,1999,41.0
October,1999,41.0
November,1999,66.0
December,1999,41.0
January,2000,156.27999999999997
February,2000,62.28
March,2000,350.7
April,2000,45.0
May,2000,93.96
June,2000,61.0
July,2000,58.0
August,2000,130.0
September,2000,118.0
October,2000,39.0
November,2000,50.0
December,2000,45.0
April,2001,34.0
May,2001,77.0
June,2001,78.0
July,2001,128.89999999999998
August,2001,45.03
September,2001,42.31
October,2001,41.0
November,2001,113.17
December,2001,6.27
March,2002,29.91
April,2002,9.75
May,2002,89.8
June,2002,13.84
August,2002,34.96
September,2002,39.65
October,2002,144.67
November,2002,53.68
January,2003,22.21
February,2003,41.58
March,2003,25.61
April,2003,31.34
June,2003,52.88
July,2003,36.290000000000006
October,2003,18.169999999999998
November,2003,13.79
December,2003,11.115
February,2004,51.75
March,2004,6.6339999999999995
April,2004,18.516000000000002
May,2004,12.026999999999997
June,2004,12.192
July,2004,16.105
August,2004,44.33
September,2004,35.125
October,2004,14.553
November,2004,27.234
December,2004,11.231000000000002
January,2005,64.47299899999999
February,2005,19.947999999999997
March,2005,54.242999999999995
April,2005,37.498
May,2005,25.143
June,2005,16.712
July,2005,20.867
August,2005,33.278999999999996
October,2005,18.189
November,2005,22.628999999999998
December,2005,30.930000000000003
January,2006,33.455999999999996
February,2006,52.437999999999995
March,2006,54.901999999999994
April,2006,175.87
May,2006,34.617
June,2006,64.66
July,2006,17.53
August,2006,34.304
September,2006,26.925
October,2006,10.027000000000001
November,2006,79.163
December,2006,33.186
January,2007,23.239000000000004
February,2007,70.089
March,2007,15.713000000000001
April,2007,55.09
May,2007,8.092
June,2007,24.489
July,2007,3.231
August,2007,19.637
September,2007,12.18
October,2007,5.94
November,2007,9.84
December,2007,9.971
April,2010,5.3
May,2010,3.37
June,2010,4.33
July,2010,3.0
August,2010,25.7791
September,2010,29.353499999999997
October,2010,20.0601
November,2010,15.732
December,2010,5.365
January,2011,39.322900000000004
February,2011,21.1494
March,2011,28.913899999999998
April,2011,9.2715
May,2011,3.0
June,2011,36.9332
July,2011,18.9413
August,2011,22.084
September,2011,17.7644
October,2011,6.126
November,2011,9.0
December,2011,9.0
January,2012,0.0
February,2012,0.0
March,2012,0.0
April,2012,0.0
May,2012,0.0
June,2012,0.0
July,2012,0.0
August,2012,0.0
September,2012,10.571
October,2012,6.51
November,2012,6.349
December,2012,0.0
January,2013,0.0
February,2013,3.105
March,2013,3.21
April,2013,0.0
May,2013,0.0
June,2013,4.974
July,2013,0.0
August,2013,0.0
September,2013,3.432
October,2013,5.553
November,2013,5.4990000000000006
December,2013,5.004
January,2014,0.0
February,2014,5.6209999999999996
March,2014,1.31
April,2014,4.183
May,2014,3.45
June,2014,10.568
July,2014,8.366
August,2014,7.231
September,2014,6.399000000000001
October,2014,3.7600000000000002
November,2014,6.466
December,2014,5.704
