MonthName,Year,value_final
October,1998,48.0
November,1998,49.0
December,1998,1.0
January,1999,14.0
March,1999,6.0
April,1999,30.0
May,1999,9.0
June,1999,29.0
July,1999,85.03999999999999
August,1999,73.50999999999999
September,1999,17.0
October,1999,31.0
November,1999,23.0
December,1999,19.0
January,2000,14.59
February,2000,17.24
March,2000,3.69
April,2000,33.0
May,2000,33.76
June,2000,20.0
July,2000,44.2
August,2000,68.0
September,2000,38.0
October,2000,66.0
November,2000,15.0
December,2000,18.0
January,2001,2.0
February,2001,2.0
March,2001,2.0
April,2001,15.0
May,2001,13.0
June,2001,12.0
July,2001,11.48
August,2001,21.03
September,2001,4.37
March,2002,1.64
April,2002,1.32
June,2002,1.03
August,2002,8.67
September,2002,8.12
October,2002,31.64
January,2003,7.43
February,2003,8.93
March,2003,6.28
April,2003,8.21
May,2003,6.92
June,2003,5.23
July,2003,1.359
August,2003,12.21
September,2003,9.91
October,2003,10.37
November,2003,2.94
January,2004,8.18
February,2004,5.2
March,2004,5.1080000000000005
April,2004,3.031
May,2004,1.1340000000000001
June,2004,1.08
July,2004,4.181
August,2004,4.841
September,2004,2.3369999999999997
October,2004,5.928
November,2004,2.8169999999999997
December,2004,8.192
January,2005,11.63
February,2005,2.61
March,2005,2.42
April,2005,33.299999
May,2005,12.36
June,2005,12.113
July,2005,8.368
August,2005,1.636
September,2005,4.704
October,2005,18.92
November,2005,6.7
December,2005,48.189999
January,2006,14.6
February,2006,0.94
March,2006,7.39
April,2006,11.35
May,2006,21.44
June,2006,18.84
July,2006,7.785
August,2006,10.94
September,2006,4.703
October,2006,55.29
November,2006,24.64
December,2006,8.51
January,2007,9.625
February,2007,16.68
March,2007,7.681
April,2007,3.701
May,2007,2.612
June,2007,4.061
July,2007,0.05
August,2007,3.799
September,2007,6.635
October,2007,4.61
November,2007,3.092
December,2007,9.16
February,2008,1.0
May,2008,2.8
June,2008,4.6
September,2008,6.5
October,2008,2.1
November,2008,1.8
December,2008,5.1
April,2009,3.0
May,2009,1.4
June,2009,1.4
July,2009,4.0
August,2009,3.5
October,2009,1.4
November,2009,1.0
December,2009,1.7
January,2010,1.5
February,2010,1.8
March,2010,2.1
April,2010,1.9
May,2010,1.8
June,2010,2.2
July,2010,2.4
August,2010,1.5
September,2010,2.9
October,2010,2.7
November,2010,1.5
December,2010,2.1
January,2011,1.0
February,2011,0.63
March,2011,2.8
April,2011,1.0
May,2011,1.5
June,2011,1.6
August,2011,3.8000000000000003
September,2011,3.2
November,2011,3.6
December,2011,1.8
February,2012,5.4
July,2014,0.75
September,2014,2.5
October,2014,0.75
November,2014,1.9
December,2014,2.0
February,2016,24.58
March,2016,6.462000000000001
April,2016,9.172
May,2016,6.4879999999999995
June,2016,1.973
July,2016,6.274
August,2016,1.973
September,2016,1.973
October,2016,7.37
November,2016,4.4755
December,2016,1.973
