MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,126.0
May,1998,0.0
June,1998,32.0
July,1998,0.0
August,1998,66.89
September,1998,0.0
October,1998,157.0
November,1998,43.0
December,1998,4.0
January,1999,96.0
February,1999,47.0
March,1999,30.0
April,1999,82.0
May,1999,27.0
June,1999,66.0
July,1999,156.82999999999998
August,1999,112.72
September,1999,69.0
October,1999,81.0
November,1999,118.0
December,1999,110.0
January,2000,107.89
February,2000,117.17
March,2000,295.11
April,2000,29.0
May,2000,57.480000000000004
June,2000,84.0
July,2000,100.9
August,2000,223.0
September,2000,101.0
October,2000,61.0
November,2000,43.0
December,2000,52.0
January,2001,13.0
February,2001,14.0
March,2001,9.0
April,2001,26.0
May,2001,63.0
June,2001,101.0
July,2001,138.47
August,2001,56.33
September,2001,15.129999999999999
February,2002,27.54
March,2002,64.59
April,2002,6.57
May,2002,130.18
June,2002,20.200000000000003
August,2002,51.6
September,2002,51.510000000000005
October,2002,56.900000000000006
November,2002,56.04
January,2003,48.120000000000005
February,2003,55.76
March,2003,47.120000000000005
April,2003,45.730000000000004
May,2003,40.18
June,2003,50.32
July,2003,4.397
August,2003,19.64
September,2003,2.991
October,2003,27.89
November,2003,31.29
January,2004,38.96
February,2004,32.31
March,2004,31.261999999999997
April,2004,31.832
May,2004,14.613999999999999
June,2004,34.699999999999996
July,2004,16.398
August,2004,34.974999999999994
September,2004,19.874000000000002
October,2004,22.097
November,2004,22.637
December,2004,45.75300000000001
January,2005,52.956
February,2005,17.727
March,2005,37.548
April,2005,75.046001
May,2005,19.47
June,2005,39.372
July,2005,28.597
August,2005,28.829
September,2005,14.514
October,2005,60.65
November,2005,70.63400100000001
December,2005,136.048999
January,2006,51.705999999999996
February,2006,122.02000000000001
March,2006,81.04
April,2006,282.57
June,2006,62.506
July,2006,31.837999999999997
August,2006,88.365
September,2006,73.806
October,2006,64.354
November,2006,113.87
December,2006,49.988
January,2007,13.307999999999998
February,2007,39.074999999999996
March,2007,25.663000000000004
April,2007,72.693
May,2007,8.981
June,2007,17.734
July,2007,7.909999999999999
August,2007,24.36
September,2007,28.792
October,2007,27.484
November,2007,9.249999999999998
December,2007,8.949
January,2008,7.300000000000001
February,2008,7.8
April,2008,5.6
May,2008,13.100000000000001
June,2008,2.2
September,2008,12.5
October,2008,6.699999999999999
November,2008,5.4
April,2009,7.6
May,2009,3.5
June,2009,11.0
July,2009,5.0
August,2009,3.8
September,2009,6.199999999999999
October,2009,5.2
November,2009,2.153
December,2009,3.4499999999999997
January,2010,5.8
February,2010,8.6
March,2010,5.3
April,2010,3.68
May,2010,4.2
June,2010,3.8000000000000003
July,2010,3.9000000000000004
August,2010,5.0
September,2010,3.3
October,2010,2.77
November,2010,3.9999999999999996
December,2010,9.0
January,2011,4.8
February,2011,4.199999999999999
March,2011,9.1
April,2011,12.0
May,2011,14.8
June,2011,15.599999999999998
July,2011,5.9
August,2011,7.6
September,2011,5.5
October,2011,6.0
November,2011,5.9
December,2011,5.3
January,2012,5.8
February,2012,6.6
October,2013,12.7
September,2014,6.8999999999999995
October,2014,7.0
November,2014,5.300000000000001
January,2016,5.9190000000000005
February,2016,8.476
March,2016,5.9190000000000005
April,2016,5.9190000000000005
May,2016,5.9190000000000005
June,2016,5.9190000000000005
July,2016,5.9190000000000005
August,2016,14.833400000000001
September,2016,5.9190000000000005
October,2016,5.9190000000000005
November,2016,5.9190000000000005
December,2016,8.04
