MonthName,Year,value_final
January,2009,0.5
February,2009,0.5
March,2009,87.0
September,2009,109.0
March,2010,3.51
August,2010,2.2
December,2010,10.7
January,2011,0.45
February,2011,0.55
April,2011,3.39
May,2011,46.11
June,2011,42.69
January,2012,0.0
February,2012,0.0
March,2012,0.0
April,2012,7.6
May,2012,0.0
June,2012,0.0
July,2012,0.0
August,2012,0.0
September,2012,0.0
October,2012,2.06
November,2012,0.0
December,2012,11.2
January,2013,4.96
February,2013,7.05
April,2013,5.3
May,2013,0.94
July,2013,1.1
August,2013,0.31
September,2013,2.64
October,2013,0.45
November,2013,0.97
December,2013,3.5
June,2014,0.0
July,2014,1.52
August,2014,1.3
September,2014,1.93
October,2014,1.19
November,2014,1.15
December,2014,1.36
February,2015,1.9
March,2015,8.64
May,2015,1.36
August,2015,1.58
September,2015,1.83
