MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,30.0
April,1998,50.0
May,1998,0.0
June,1998,30.0
July,1998,0.0
August,1998,82.25
September,1998,0.0
October,1998,146.0
November,1998,100.0
December,1998,60.0
January,1999,97.0
February,1999,17.0
March,1999,25.0
April,1999,89.0
May,1999,44.0
June,1999,78.0
July,1999,156.5
August,1999,95.92
September,1999,73.0
October,1999,125.0
November,1999,64.0
December,1999,81.0
January,2000,44.56
February,2000,76.24000000000001
March,2000,173.20000000000002
April,2000,60.0
May,2000,48.89999999999999
June,2000,58.0
July,2000,114.22
August,2000,128.0
September,2000,38.0
October,2000,66.0
November,2000,42.0
December,2000,40.0
January,2001,8.0
February,2001,9.0
March,2001,9.0
April,2001,80.0
May,2001,47.0
June,2001,26.0
July,2001,93.83000000000001
August,2001,65.52
September,2001,14.35
March,2002,11.459999999999999
April,2002,11.93
June,2002,5.5
August,2002,20.01
September,2002,22.04
October,2002,83.96
November,2002,48.330000000000005
January,2003,24.89
February,2003,31.110000000000003
March,2003,22.22
April,2003,23.95
May,2003,19.69
June,2003,22.83
July,2003,5.693
August,2003,86.34200000000001
September,2003,4.558
October,2003,10.35
November,2003,8.06
February,2004,14.61
April,2004,7.332
May,2004,1.823
June,2004,19.251
July,2004,9.256
August,2004,15.725999999999999
September,2004,5.864000000000001
October,2004,9.413
November,2004,3.859
December,2004,7.936999999999999
January,2005,5.512
February,2005,16.389
March,2005,20.052
April,2005,8.606
May,2005,18.405
June,2005,21.476
July,2005,6.593999999999999
August,2005,8.884
September,2005,2.485
October,2005,9.951
November,2005,4.6
December,2005,18.910999999999998
January,2006,6.903
February,2006,13.754999999999999
March,2006,17.476
April,2006,123.01
May,2006,66.39
June,2006,13.984
July,2006,10.105
August,2006,26.791999999999998
September,2006,15.813
October,2006,28.064
November,2006,18.228
December,2006,14.225999999999999
January,2007,39.699999999999996
February,2007,21.363
March,2007,6.285
April,2007,27.172000000000004
May,2007,6.545
June,2007,7.332
July,2007,0.166
August,2007,6.997
September,2007,15.560999999999998
October,2007,6.102
November,2007,5.695
December,2007,7.122000000000001
January,2008,7.5
April,2008,6.4
June,2008,3.8
September,2008,6.8999999999999995
October,2008,3.92
November,2008,10.8
December,2008,6.4
April,2009,4.8
May,2009,8.0
June,2009,6.0
July,2009,3.7
August,2009,3.9
September,2009,10.6
October,2009,7.6
November,2009,5.199999999999999
December,2009,5.199999999999999
January,2010,3.4099999999999997
February,2010,4.9
March,2010,4.4
April,2010,3.7800000000000002
May,2010,4.0
June,2010,3.2800000000000002
July,2010,4.0
August,2010,4.199999999999999
September,2010,4.2
October,2010,4.8
November,2010,4.3
December,2010,10.200000000000001
January,2011,4.0
February,2011,8.399999999999999
March,2011,7.300000000000001
April,2011,4.3
May,2011,4.7
June,2011,4.5
July,2011,4.7
August,2011,8.7
September,2011,4.5
October,2011,4.699999999999999
November,2011,5.300000000000001
December,2011,7.5
January,2012,5.699999999999999
February,2012,5.0
June,2012,6.3
January,2014,5.9
June,2014,8.3
September,2014,14.731
October,2014,8.629999999999999
November,2014,9.73
December,2014,5.359999999999999
January,2015,9.76
February,2015,7.1
March,2015,3.87
April,2015,8.52
May,2015,3.25
June,2015,1.5
July,2015,7.5
August,2015,3.09
September,2015,6.58
October,2015,2.5300000000000002
November,2015,2.09
December,2015,4.81
January,2016,0.0
February,2016,1.04
March,2016,7.26
April,2016,0.0
May,2016,7.55
June,2016,7.72
July,2016,9.549999999999999
August,2016,1.06
September,2016,4.85
October,2016,4.74
November,2016,11.58
December,2016,4.67
