MonthName,Year,value_final
April,1998,90.0
June,1998,34.0
August,1998,52.0
October,1998,0.0
November,1998,92.0
December,1998,40.0
January,1999,2.0
February,1999,18.0
March,1999,7.0
April,1999,18.0
May,1999,11.0
June,1999,31.0
July,1999,91.38
August,1999,60.83
September,1999,28.0
October,1999,87.0
November,1999,47.0
December,1999,40.0
January,2000,26.4
February,2000,33.61
March,2000,74.62
April,2000,77.0
May,2000,29.65
June,2000,39.0
July,2000,63.37
August,2000,108.0
September,2000,33.0
October,2000,16.0
November,2000,17.0
December,2000,16.0
January,2001,3.0
February,2001,3.0
March,2001,2.0
April,2001,20.0
May,2001,14.0
June,2001,30.0
July,2001,44.52
August,2001,41.46
October,2001,5.67
November,2001,11.45
December,2001,1.61
March,2002,1.91
April,2002,2.15
May,2002,17.71
June,2002,1.12
August,2002,7.05
September,2002,8.68
October,2002,45.690000000000005
November,2002,23.64
January,2003,6.06
February,2003,9.69
March,2003,7.65
April,2003,9.64
May,2003,8.21
June,2003,7.47
July,2003,9.21
August,2003,222.94
September,2003,4.409
November,2003,1.68
December,2003,6.52
February,2004,7.52
March,2004,4.638
April,2004,4.678999999999999
May,2004,3.9419999999999997
June,2004,9.058
July,2004,6.125
August,2004,2.14
September,2004,6.129
October,2004,4.435
November,2004,1.073
December,2004,0.36700000000000005
January,2005,0.574
February,2005,4.915
March,2005,5.1770000000000005
April,2005,14.92
May,2005,5.325
June,2005,11.33
July,2005,7.355
August,2005,7.622000000000001
October,2005,9.687999999999999
November,2005,8.889
December,2005,7.7410000000000005
January,2006,0.718
February,2006,3.906
March,2006,10.45
April,2006,2.588
May,2006,12.03
June,2006,9.827
July,2006,18.39
August,2006,15.76
September,2006,3.938
October,2006,17.89
November,2006,34.9
December,2006,10.892999999999999
January,2007,3.865
February,2007,12.8
March,2007,3.08
April,2007,1.9469999999999998
May,2007,2.103
June,2007,7.39
July,2007,1.758
August,2007,8.883
September,2007,2.029
October,2007,7.1
December,2007,5.626
January,2010,2.3
February,2010,4.3
March,2010,2.3
April,2010,10.2
May,2010,3.7
June,2010,2.6
July,2010,2.7
August,2010,3.8
September,2010,8.6
October,2010,4.0
November,2010,6.8
December,2010,4.5
January,2011,7.21
February,2011,5.153
March,2011,1.2
April,2011,4.7
May,2011,2.1
June,2011,2.5
July,2011,1.86
August,2011,2.75
September,2011,1.74
October,2011,2.31
November,2011,4.0
December,2011,3.2
January,2012,0.87
February,2012,4.6
March,2012,3.8
April,2012,4.6
May,2012,7.8
June,2012,2.6
July,2012,3.7
August,2012,5.8
October,2012,5.8
November,2012,3.3
December,2012,0.92
January,2013,1.2
February,2013,5.9
March,2013,5.4
April,2013,1.9
May,2013,1.3
June,2013,1.7
July,2013,3.1
August,2013,0.89
September,2013,0.78
October,2013,0.57
November,2013,0.0
December,2013,0.4
January,2014,0.0
February,2014,1.1
March,2014,0.52
April,2014,0.52
May,2014,0.85
June,2014,1.8
July,2014,0.0
August,2014,0.0
September,2014,0.0
October,2014,0.0
November,2014,0.62
December,2014,0.42
