MonthName,Year,value_final
April,1998,15.0
June,1998,1.0
August,1998,41.36
October,1998,147.0
November,1998,46.0
December,1998,21.0
January,1999,55.0
February,1999,28.0
March,1999,16.0
April,1999,82.0
May,1999,48.95
June,1999,65.0
July,1999,158.0
August,1999,108.07
September,1999,63.0
October,1999,90.0
November,1999,54.0
December,1999,125.0
January,2000,54.89999999999999
February,2000,89.95
March,2000,193.88
April,2000,50.0
May,2000,73.75
June,2000,54.0
July,2000,105.64
August,2000,141.5
September,2000,84.0
October,2000,64.0
November,2000,37.0
December,2000,46.0
January,2001,10.0
February,2001,9.0
March,2001,7.0
April,2001,41.0
May,2001,72.0
June,2001,34.5
July,2001,96.26
August,2001,61.39
September,2001,17.34
March,2002,8.67
April,2002,17.810000000000002
June,2002,6.41
August,2002,16.21
September,2002,23.3
October,2002,74.07000000000001
November,2002,34.25
January,2003,16.61
February,2003,23.75
March,2003,18.84
April,2003,23.599999999999998
May,2003,18.490000000000002
June,2003,18.88
July,2003,4.43
August,2003,24.105
September,2003,8.863999999999999
October,2003,12.120000000000001
November,2003,6.26
January,2004,31.81
February,2004,19.759999999999998
March,2004,9.773
April,2004,9.598
May,2004,3.9090000000000003
June,2004,20.601
July,2004,7.128
August,2004,10.767
September,2004,8.251999999999999
October,2004,8.074000000000002
November,2004,3.76
December,2004,2.14
January,2005,7.758000000000001
February,2005,13.308
March,2005,19.168999999999997
April,2005,5.387
May,2005,7.1259999999999994
June,2005,8.809000000000001
July,2005,118.655998
August,2005,7.640000000000001
September,2005,1.493
October,2005,4.741
November,2005,9.927
December,2005,122.759999
January,2006,7.483
February,2006,25.781
March,2006,19.369999999999997
April,2006,40.14
May,2006,43.230000000000004
June,2006,9.706
July,2006,11.859
August,2006,49.211
September,2006,17.307
October,2006,34.49
November,2006,57.8
December,2006,21.616
January,2007,24.42
February,2007,17.946
March,2007,5.58
April,2007,26.912
May,2007,16.597
June,2007,7.656000000000001
July,2007,3.202
August,2007,10.488
September,2007,8.453
October,2007,8.347
November,2007,17.657
December,2007,5.357
January,2008,8.12
February,2008,3.08
April,2008,6.700000000000001
June,2008,2.0
September,2008,5.9
October,2008,5.0
November,2008,11.399999999999999
December,2008,5.0
April,2009,7.2
May,2009,9.8
June,2009,5.0
July,2009,3.4000000000000004
August,2009,3.6
September,2009,12.4
October,2009,13.700000000000001
November,2009,5.1
December,2009,4.4
January,2010,3.8
February,2010,4.3
March,2010,5.4
April,2010,3.9
May,2010,4.0
June,2010,5.9
July,2010,4.6
August,2010,7.7
September,2010,4.9
October,2010,4.1
November,2010,4.4
December,2010,6.6
January,2011,6.1
February,2011,5.3999999999999995
March,2011,6.800000000000001
April,2011,5.5
May,2011,4.9
June,2011,5.1
July,2011,7.3
August,2011,10.1
September,2011,4.8
October,2011,6.800000000000001
November,2011,6.1
December,2011,4.7
January,2012,11.3
February,2012,5.1
August,2014,7.47
September,2014,8.27
October,2014,2.25
November,2014,13.42
December,2014,5.99
January,2015,5.29
February,2015,4.930000000000001
March,2015,4.02
April,2015,8.11
May,2015,2.73
June,2015,1.5
July,2015,1.5
August,2015,1.5
September,2015,6.329999999999999
October,2015,4.68
November,2015,1.5
December,2015,3.99
January,2016,0.0
February,2016,4.14
March,2016,10.239999999999998
April,2016,0.0
May,2016,9.34
June,2016,4.03
July,2016,0.0
August,2016,10.719999999999999
September,2016,2.04
October,2016,4.2700000000000005
November,2016,6.8100000000000005
December,2016,5.3
