MonthName,Year,value_final
April,1998,41.0
June,1998,10.0
August,1998,15.0
October,1998,48.0
November,1998,23.0
December,1998,1.0
January,1999,34.0
March,1999,3.0
April,1999,16.0
May,1999,16.0
June,1999,28.0
July,1999,67.49000000000001
August,1999,87.03
September,1999,45.0
October,1999,21.0
November,1999,57.0
December,1999,34.0
January,2000,40.82
February,2000,41.9
March,2000,144.7
April,2000,47.0
May,2000,30.52
June,2000,50.05
July,2000,52.2
August,2000,123.0
September,2000,12.0
October,2000,27.0
November,2000,18.0
December,2000,41.0
January,2001,5.0
February,2001,4.0
March,2001,2.0
April,2001,20.0
May,2001,18.0
June,2001,38.0
July,2001,38.38
August,2001,29.76
March,2002,4.26
April,2002,1.46
June,2002,1.61
August,2002,7.62
September,2002,7.07
October,2002,28.509999999999998
January,2003,9.19
February,2003,12.42
March,2003,5.98
April,2003,7.43
May,2003,8.24
June,2003,7.49
July,2003,2.396
August,2003,15.45
September,2003,4.24
October,2003,1.58
November,2003,1.67
January,2004,8.07
February,2004,3.96
March,2004,2.8489999999999998
April,2004,6.33
May,2004,1.33
June,2004,1.042
July,2004,1.515
August,2004,7.5489999999999995
September,2004,10.31
October,2004,3.6489999999999996
November,2004,4.048
December,2004,3.8369999999999997
January,2005,17.290001
February,2005,3.557
March,2005,7.029
April,2005,24.879998999999998
May,2005,9.568
June,2005,10.005
July,2005,2.1719999999999997
August,2005,4.546
September,2005,4.288
October,2005,3.321
November,2005,6.807
December,2005,34.599998
January,2006,13.205
February,2006,0.07
March,2006,0.05
April,2006,8.59
May,2006,55.54
June,2006,21.26
July,2006,3.9989999999999997
August,2006,21.0
September,2006,12.064
October,2006,30.69
November,2006,17.2
December,2006,7.979
January,2007,6.319
February,2007,14.74
March,2007,1.767
April,2007,8.073
May,2007,18.68
June,2007,4.746
July,2007,4.871
August,2007,2.2030000000000003
September,2007,0.345
October,2007,6.364
November,2007,4.763999999999999
December,2007,7.649
February,2008,1.4
May,2008,3.5
June,2008,4.4
September,2008,10.2
October,2008,3.6
November,2008,4.9
December,2008,5.300000000000001
April,2009,2.4
May,2009,1.6
June,2009,1.8
July,2009,3.75
August,2009,3.8
September,2009,2.1
October,2009,2.6
November,2009,1.4
December,2009,3.0
January,2010,2.1
February,2010,3.0
March,2010,1.9
April,2010,3.5
May,2010,2.0
June,2010,2.2
July,2010,1.9
August,2010,3.5
September,2010,2.5
October,2010,2.5
November,2010,1.8
December,2010,1.8
January,2011,1.1
February,2011,1.3
March,2011,2.0
April,2011,1.7
May,2011,2.5
June,2011,2.1
August,2011,6.0
September,2011,2.5
November,2011,4.9
December,2011,2.0
February,2012,4.4
July,2014,1.9
September,2014,1.9
October,2014,1.9
November,2014,2.7
December,2014,2.9
February,2016,11.533
March,2016,6.5520000000000005
April,2016,3.96
May,2016,10.87
June,2016,6.67
August,2016,1.973
September,2016,13.74
October,2016,13.148
November,2016,4.1365
December,2016,5.95
