MonthName,Year,value_final
April,2009,0.5
January,2010,1.0
February,2010,1.0
March,2010,1.0
April,2010,1.0
May,2010,1.0
June,2010,1.0
July,2010,1.0
August,2010,1.0
September,2010,1.0
October,2010,1.0
December,2010,1.0
January,2011,1.0
February,2011,1.0
March,2011,2.0
April,2011,1.0
May,2011,0.0
June,2011,0.0
July,2011,0.0
August,2011,0.0
September,2011,0.0
October,2011,0.0
November,2011,0.0
December,2011,0.0
April,2012,0.0
May,2012,0.0
July,2012,0.0
August,2012,0.0
September,2012,0.0
October,2012,0.0
November,2012,0.0
December,2012,0.0
January,2013,0.0
February,2013,0.0
March,2013,0.0
April,2013,0.0
May,2013,0.015
June,2013,0.02
July,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,0.03
December,2013,0.0
January,2014,0.0
February,2014,0.0
March,2014,0.0
April,2014,0.03
May,2014,0.022000000000000002
June,2014,0.0
July,2014,0.0
August,2014,0.0
September,2014,0.0
October,2014,0.0
November,2014,0.055
December,2014,0.0
January,2015,0.0
February,2015,0.0
March,2015,0.0
April,2015,0.0
May,2015,0.0
June,2015,0.0
July,2015,0.0
August,2015,0.0
September,2015,0.067
October,2015,0.0
November,2015,0.0
December,2015,0.0
January,2016,0.0
February,2016,0.0
March,2016,0.0
April,2016,0.0
May,2016,0.0
June,2016,0.0
July,2016,0.0
August,2016,0.0
October,2016,0.0
November,2016,0.0
December,2016,0.0
