MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,0.0
May,1998,0.0
June,1998,0.0
July,1998,0.0
August,1998,0.0
September,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,2005,2.511
February,2005,0.0
March,2005,0.34700000000000003
April,2005,0.0
May,2005,0.0
June,2005,0.0
July,2005,0.0
August,2005,0.0
September,2005,0.469
October,2005,0.0
November,2005,0.0
December,2005,0.0
January,2006,0.165
February,2006,0.15
March,2006,0.154
April,2006,0.163
May,2006,0.196
June,2006,0.656
July,2006,0.39299999999999996
August,2006,0.268
September,2006,0.15
October,2006,0.10400000000000001
November,2006,0.2
December,2006,0.28300000000000003
January,2007,0.225
February,2007,0.6930000000000001
March,2007,0.178
April,2007,0.219
May,2007,0.208
June,2007,0.152
July,2007,0.15
August,2007,0.144
September,2007,0.156
November,2007,0.07500000000000001
December,2007,0.37999999999999995
April,2010,1.38
May,2010,1.06
June,2010,1.166
January,2011,0.125
June,2011,1.211
July,2011,3.1319999999999997
August,2011,0.81
September,2011,0.17700000000000002
October,2011,0.059000000000000004
November,2011,0.17700000000000002
December,2011,0.17700000000000002
January,2012,0.057999999999999996
February,2012,0.209
March,2012,0.0
April,2012,0.0
May,2012,0.156
June,2012,0.552
July,2012,0.162
August,2012,0.033
September,2012,0.083
October,2012,0.054000000000000006
November,2012,0.0
December,2012,0.057
January,2013,0.0
February,2013,0.0
March,2013,0.032
April,2013,0.0
May,2013,0.0
June,2013,0.0
July,2013,0.0
August,2013,0.0
September,2013,0.0
October,2013,0.0
November,2013,0.0
December,2013,0.164
January,2014,0.0
February,2014,0.136
March,2014,0.0441
April,2014,0.37999999999999995
May,2014,0.042
June,2014,0.1038
July,2014,0.12840000000000001
August,2014,0.0762
September,2014,0.033
October,2014,0.07100000000000001
November,2014,0.0
December,2014,0.017
