MonthName,Year,value_final
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,2005,0.0
February,2005,0.0
March,2005,0.0
April,2005,0.0
May,2005,0.0
June,2005,0.0
July,2005,0.0
August,2005,0.0
September,2005,0.0
October,2005,0.0
November,2005,0.0
December,2005,0.0
January,2006,0.025
February,2006,0.111
March,2006,0.04
April,2006,0.033
May,2006,0.027999999999999997
June,2006,0.122
July,2006,0.053
August,2006,0.192
September,2006,0.038
October,2006,0.025
December,2006,0.077
January,2007,0.039
February,2007,0.025
March,2007,0.025
April,2007,0.025
May,2007,0.025
June,2007,0.025
July,2007,0.025
August,2007,0.025
September,2007,0.079
November,2007,0.025
December,2007,0.055999999999999994
February,2008,0.025
May,2008,0.04
June,2008,0.096
September,2008,0.048
October,2008,0.037000000000000005
November,2008,0.038
December,2008,0.07700000000000001
April,2009,0.06
May,2009,0.4
June,2009,0.07200000000000001
July,2009,0.19
August,2009,0.078
October,2009,0.048
November,2009,0.073
December,2009,0.067
January,2010,0.052000000000000005
February,2010,0.044000000000000004
March,2010,0.06
April,2010,0.06
May,2010,0.073
June,2010,0.062
July,2010,0.08
August,2010,0.069
September,2010,0.055999999999999994
October,2010,0.059000000000000004
November,2010,0.06
December,2010,0.06
January,2011,0.11
February,2011,0.057999999999999996
March,2011,0.15
April,2011,0.07200000000000001
May,2011,0.07
June,2011,0.047
August,2011,0.125
September,2011,0.083
November,2011,0.185
December,2011,0.049
February,2012,0.132
July,2014,0.05
December,2014,0.038
January,2015,0.0875
February,2016,0.047
April,2016,0.071
May,2016,0.0
July,2016,0.03
August,2016,0.0
September,2016,0.0
October,2016,0.0
November,2016,0.016
December,2016,0.0
