MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,0.0
May,1998,0.0
June,1998,0.0
July,1998,0.0
August,1998,0.0
September,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,2005,2.13
February,2005,0.0
March,2005,0.0
April,2005,0.33399999999999996
May,2005,0.322
June,2005,0.0
July,2005,0.0
August,2005,0.0
September,2005,0.0
October,2005,0.0
November,2005,0.0
December,2005,0.0
January,2006,0.676
February,2006,0.16599999999999998
March,2006,0.156
April,2006,0.21000000000000002
June,2006,0.157
July,2006,0.532
August,2006,0.20699999999999996
September,2006,0.259
October,2006,1.7599999999999998
December,2006,0.253
January,2007,0.15
February,2007,0.28300000000000003
March,2007,0.34199999999999997
April,2007,0.15
May,2007,0.152
June,2007,0.10999999999999999
July,2007,0.22799999999999998
August,2007,0.15
September,2007,0.22799999999999998
November,2007,0.3360000000000001
December,2007,0.15
January,2008,0.07500000000000001
February,2008,0.095
April,2008,0.11200000000000002
May,2008,0.088
June,2008,0.037000000000000005
September,2008,0.661
October,2008,0.093
November,2008,0.114
April,2009,0.10700000000000001
May,2009,0.42000000000000004
June,2009,0.33999999999999997
July,2009,0.41000000000000003
August,2009,0.178
September,2009,0.099
October,2009,0.15300000000000002
November,2009,0.175
December,2009,0.14500000000000002
January,2010,0.185
February,2010,0.123
March,2010,0.201
April,2010,0.12100000000000001
May,2010,0.183
June,2010,0.18
July,2010,0.153
August,2010,0.2
September,2010,0.181
October,2010,0.182
November,2010,0.155
December,2010,0.21700000000000003
January,2011,0.2
February,2011,0.181
March,2011,0.26
April,2011,0.14600000000000002
May,2011,0.15200000000000002
June,2011,0.133
July,2011,0.14700000000000002
August,2011,0.134
September,2011,0.12000000000000001
October,2011,0.193
November,2011,0.161
December,2011,0.192
January,2012,0.179
February,2012,0.183
October,2013,0.0
July,2014,0.15000000000000002
December,2014,0.1402
January,2015,0.0979
March,2016,0.17200000000000001
April,2016,0.0
May,2016,0.0
June,2016,0.23900000000000002
July,2016,0.017
August,2016,0.05500000000000001
September,2016,0.139
October,2016,0.0
November,2016,0.083
December,2016,0.032
