MonthName,Year,value_final
January,2013,0.015
February,2013,0.015
March,2013,0.015
April,2013,0.015
May,2013,0.015
June,2013,0.015
July,2013,0.015
September,2013,0.03
October,2013,0.015
November,2013,0.13
December,2013,0.02
June,2014,0.02
July,2014,0.02
August,2014,0.02
September,2014,0.02
October,2014,0.02
November,2014,0.02
December,2014,0.02
February,2015,0.049
April,2015,0.03
May,2015,0.017
June,2015,0.0
July,2015,0.0
August,2015,0.0
September,2015,0.0
November,2015,0.0
December,2015,0.0
January,2016,0.0
March,2016,0.019
April,2016,0.031
August,2016,0.106
October,2016,0.0
November,2016,0.0
December,2016,0.0
