MonthName,Year,value_final
January,1998,0.0
February,1998,0.0
March,1998,0.0
April,1998,0.0
May,1998,0.0
June,1998,0.0
July,1998,0.0
August,1998,0.0
September,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,2005,0.0
February,2005,0.579
March,2005,0.579
April,2005,0.0
May,2005,0.39299999999999996
June,2005,0.0
July,2005,0.0
August,2005,0.0
September,2005,0.0
October,2005,0.0
November,2005,0.0
December,2005,0.0
January,2006,0.07500000000000001
February,2006,0.07500000000000001
March,2006,0.07700000000000001
April,2006,0.331
May,2006,0.07500000000000001
June,2006,0.224
July,2006,0.07500000000000001
August,2006,0.07500000000000001
September,2006,0.07600000000000001
October,2006,0.07500000000000001
December,2006,0.10999999999999999
January,2007,0.07500000000000001
February,2007,0.133
March,2007,0.203
April,2007,0.07500000000000001
May,2007,0.147
June,2007,0.07600000000000001
July,2007,0.07500000000000001
August,2007,0.07500000000000001
September,2007,0.07500000000000001
November,2007,0.099
December,2007,0.07500000000000001
January,2008,0.285
April,2008,0.08399999999999999
June,2008,0.04
September,2008,0.49
October,2008,0.09
November,2008,0.125
December,2008,0.127
April,2009,0.123
May,2009,0.4
June,2009,0.36
July,2009,0.166
August,2009,0.19
September,2009,0.222
October,2009,0.19
November,2009,0.22500000000000003
December,2009,0.176
January,2010,0.10500000000000001
February,2010,0.178
March,2010,0.162
April,2010,0.176
May,2010,0.164
June,2010,0.11499999999999999
July,2010,0.201
August,2010,0.189
September,2010,0.243
October,2010,0.21100000000000002
November,2010,0.156
December,2010,0.196
January,2011,0.22999999999999998
February,2011,0.43500000000000005
March,2011,0.28300000000000003
April,2011,0.192
May,2011,0.22000000000000003
June,2011,0.166
July,2011,0.138
August,2011,0.172
September,2011,0.126
October,2011,0.158
November,2011,0.15
December,2011,0.183
January,2012,0.22300000000000003
February,2012,0.13999999999999999
June,2012,0.194
January,2014,0.15000000000000002
June,2014,0.15000000000000002
July,2014,0.036000000000000004
August,2014,0.0
September,2014,0.0
October,2014,0.0
November,2014,0.0
December,2014,0.0
January,2015,0.0
February,2015,0.0
April,2015,0.108
June,2015,0.0
July,2015,0.0
August,2015,0.188
September,2015,0.0
October,2015,0.0
November,2015,0.0
December,2015,0.019
January,2016,0.0
March,2016,0.07100000000000001
April,2016,0.0
May,2016,0.0
June,2016,0.0
July,2016,0.0
August,2016,0.0
September,2016,0.0
October,2016,0.0
November,2016,0.0
December,2016,0.0
