MonthName,Year,value_final
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
October,2005,0.0
December,2005,0.0
October,2006,1.035
December,2007,0.025
January,2010,0.225
February,2010,0.32799999999999996
March,2010,0.46
April,2010,0.175
May,2010,0.395
June,2010,0.42
July,2010,0.431
August,2010,0.287
September,2010,0.387
October,2010,0.28300000000000003
November,2010,0.32
December,2010,0.41
January,2011,0.22
February,2011,0.359
March,2011,0.2
April,2011,0.312
May,2011,0.28300000000000003
June,2011,0.266
July,2011,0.35
August,2011,0.556
September,2011,0.23399999999999999
October,2011,0.324
November,2011,0.278
December,2011,0.34
January,2012,0.18
February,2012,0.12
March,2012,0.244
April,2012,0.43
May,2012,0.54
June,2012,0.17
July,2012,0.18
August,2012,0.13
October,2012,0.45
November,2012,0.4
December,2012,0.14
January,2013,0.26
February,2013,0.32
March,2013,0.36
April,2013,0.14
May,2013,0.13
June,2013,0.11
