MonthName,Year,value_final
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,2005,0.0
February,2005,0.0
March,2005,0.0
April,2005,0.0
May,2005,0.0
June,2005,0.0
July,2005,0.0
August,2005,0.0
September,2005,0.0
October,2005,0.0
November,2005,0.0
December,2005,0.0
January,2006,0.07500000000000001
February,2006,0.07600000000000001
March,2006,0.088
April,2006,0.191
May,2006,0.093
June,2006,0.092
July,2006,0.10200000000000001
August,2006,0.094
September,2006,0.158
October,2006,0.11499999999999999
December,2006,0.07500000000000001
January,2007,0.085
February,2007,0.10599999999999998
March,2007,0.085
April,2007,0.082
May,2007,0.07500000000000001
July,2007,0.07500000000000001
August,2007,0.07500000000000001
September,2007,0.096
November,2007,0.07500000000000001
December,2007,0.10899999999999999
January,2008,0.14300000000000002
February,2008,0.093
April,2008,0.095
June,2008,0.059000000000000004
September,2008,0.53
October,2008,0.08
November,2008,0.15400000000000003
December,2008,0.123
April,2009,0.182
May,2009,0.31
June,2009,0.22200000000000003
July,2009,0.256
August,2009,0.195
September,2009,0.262
October,2009,0.41000000000000003
November,2009,0.203
December,2009,0.232
January,2010,0.137
February,2010,0.256
March,2010,0.15300000000000002
April,2010,0.14600000000000002
May,2010,0.153
June,2010,0.101
July,2010,0.241
August,2010,0.14300000000000002
September,2010,0.149
October,2010,0.142
November,2010,0.144
December,2010,0.187
January,2011,0.243
February,2011,0.202
March,2011,0.28400000000000003
April,2011,0.246
May,2011,0.262
June,2011,0.16999999999999998
July,2011,0.176
August,2011,0.198
September,2011,0.14700000000000002
October,2011,0.177
November,2011,0.186
December,2011,0.14700000000000002
January,2012,0.20800000000000002
February,2012,0.16599999999999998
July,2014,0.057999999999999996
August,2014,0.0
September,2014,0.0
October,2014,0.023
November,2014,0.0
December,2014,0.0
January,2015,0.0
February,2015,0.0
April,2015,0.22999999999999998
June,2015,0.0
July,2015,0.0
August,2015,0.182
September,2015,0.0
November,2015,0.0
December,2015,0.0
January,2016,0.0
March,2016,0.0
April,2016,0.0
May,2016,0.0
June,2016,0.0
July,2016,0.0
August,2016,0.0
September,2016,0.0
October,2016,0.0
November,2016,0.0
December,2016,0.0
