MonthName,Year,value_final
April,1998,0.0
June,1998,0.0
August,1998,0.0
October,1998,0.0
November,1998,0.0
December,1998,0.0
January,2005,0.0
February,2005,0.0
March,2005,0.0
April,2005,0.0
May,2005,0.0
June,2005,0.0
July,2005,0.0
August,2005,0.0
September,2005,0.0
October,2005,0.0
November,2005,0.0
December,2005,0.0
January,2006,0.025
February,2006,0.541
March,2006,0.026000000000000002
April,2006,0.07400000000000001
May,2006,0.034
June,2006,0.025
July,2006,0.031
August,2006,0.025
September,2006,0.03
October,2006,0.025
December,2006,0.05
January,2007,0.036000000000000004
February,2007,0.032
March,2007,0.03
April,2007,0.027999999999999997
May,2007,0.038
June,2007,0.028999999999999998
July,2007,0.025
August,2007,0.053
September,2007,0.025
November,2007,0.025
December,2007,0.059000000000000004
February,2008,0.025
May,2008,0.045
June,2008,0.2
September,2008,0.057999999999999996
October,2008,0.040999999999999995
November,2008,0.10300000000000001
December,2008,0.09
April,2009,0.055999999999999994
May,2009,0.32
June,2009,0.095
July,2009,0.155
August,2009,0.095
September,2009,0.044000000000000004
October,2009,0.061
November,2009,0.1
December,2009,0.085
January,2010,0.07
February,2010,0.075
March,2010,0.062
April,2010,0.078
May,2010,0.071
June,2010,0.075
July,2010,0.068
August,2010,0.07200000000000001
September,2010,0.052000000000000005
October,2010,0.062
November,2010,0.052000000000000005
December,2010,0.057
January,2011,0.12
February,2011,0.11
March,2011,0.09
April,2011,0.085
May,2011,0.065
June,2011,0.057
August,2011,0.12
September,2011,0.07
November,2011,0.137
December,2011,0.062
February,2012,0.116
July,2014,0.05
December,2014,0.0347
January,2015,0.0356
February,2016,0.134
March,2016,0.08
April,2016,0.024
May,2016,0.0
June,2016,0.035
July,2016,0.049
August,2016,0.019
September,2016,0.0
October,2016,0.035
November,2016,0.02
